Item,pic,correct,part,partimg,condition,parta.thisRepN,parta.thisTrialN,parta.thisN,parta.thisIndex,trialsA.thisRepN,trialsA.thisTrialN,trialsA.thisN,trialsA.thisIndex,partb.thisRepN,partb.thisTrialN,partb.thisN,partb.thisIndex,trialB.thisRepN,trialB.thisTrialN,trialB.thisN,trialB.thisIndex,partc.thisRepN,partc.thisTrialN,partc.thisN,partc.thisIndex,trialC.thisRepN,trialC.thisTrialN,trialC.thisN,trialC.thisIndex,textboxsubjectid.text,image_2.started,image_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ID 020,,,,,,,,,,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
1,images/4,b,a,images/3,cognitive,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
1,images/4,b,a,images/3,cognitive,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,57.220015603583306,None,0.38425925925925924,0.0962962962962963,1,0,0,2.5593721005134284,b,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
2,images/5,a,b,images/28,physical,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,59.786610239651054,None,-0.35185185185185186,0.10185185185185185,1,0,0,2.389821531716734,a,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
3,images/6,a,c,images/61,affect,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,62.1860112384893,None,-0.35185185185185186,0.10185185185185185,1,0,0,2.024935294408351,a,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
4,images/7,d,None,None,affect,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,64.21915392950177,None,-0.34814814814814815,-0.37592592592592594,1,0,0,2.3577811154536903,d,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
5,images/8,b,None,None,cognitive,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,66.58540165051818,None,0.387037037037037,0.1824074074074074,1,0,0,1.824839887674898,b,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
6,images/9,b,None,None,physical,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,68.41868889518082,None,-0.33055555555555555,-0.3787037037037037,1,0,0,1.5578171736560762,d,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
7,images/10,c,None,None,physical,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,69.98521263385192,None,0.4638888888888889,-0.4222222222222222,1,0,0,1.6911267461255193,c,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
8,images/11,c,None,None,cognitive,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,71.68501514801756,None,0.39166666666666666,-0.40370370370370373,1,0,0,1.024977640248835,c,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
9,images/12,d,None,None,affect,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,72.71824253117666,None,-0.20925925925925926,-0.3814814814814815,1,0,0,1.72402947768569,d,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
