item,style,condition,question,respond,video,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Trialsloop.thisRepN,Trialsloop.thisTrialN,Trialsloop.thisN,Trialsloop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,IDRESPONSE.text,sensor2.started,sensor2.stopped,sensor3.started,sensor3.stopped,sensor.started,sensor.stopped,sensor4.started,sensor4.stopped,textsubjresp.started,textsubjresp.stopped,SubjectiveResponse.response,SubjectiveResponse.rt,SubjectiveResponse.started,SubjectiveResponse.stopped,textsubjcon.started,textsubjcon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,directx,TRUTH ,What is your favourite song?,"My favourite song is "Perfect" by Ed Sheeran",,0,0,0,0,,,,,,,,,ID 022,,,,,,,,,,,,,,,,,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
2,indirectx,LIE,What is your favourite tv-show/tv-drama?,"My favourite drama is F.R.I.E.N.D.S",,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
3,directx,TRUTH ,Is George Washington your role model in life?,""No, my role model is Lee Kuan Yew"",,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
4,indirectx,LIE,Is MacDonalds your favourite restaurant?,""Yes, MacDonalds is my favourite restaurant"",,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
5,directx,TRUTH ,Who is your favourite celebrity?,"My favourite celebrity is Chris Hemsworth",,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
1,directx,TRUTH ,What is your favourite song?,"My favourite song is "Perfect" by Ed Sheeran",,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
2,indirectx,LIE,What is your favourite tv-show/tv-drama?,"My favourite drama is F.R.I.E.N.D.S",,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
3,directx,TRUTH ,Is George Washington your role model in life?,""No, my role model is Lee Kuan Yew"",,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
4,indirectx,LIE,Is MacDonalds your favourite restaurant?,""Yes, MacDonalds is my favourite restaurant"",,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
5,directx,TRUTH ,Who is your favourite celebrity?,"My favourite celebrity is Chris Hemsworth",,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
29,Indirect,LIE,Do you use a Samsung phone?,,video/V15.mp4,,,,,,,,,0,0,0,0,,285.27237240737304,285.7891477830708,298.05462294863537,298.55438459292054,302.0041479691863,302.53722617961466,305.9037533188239,306.40361056197435,307.686925844755,None,None,None,307.686925844755,None,307.686925844755,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
6,Direct,TRUTH,What CCA (Co-curricular Activity) did you join in secondary school?,,video/V13.mp4,,,,,,,,,0,1,1,1,,312.9197417674586,313.43621494760737,317.7527948268689,318.25261646090075,320.95217933598906,321.48541730549186,323.35199224436656,323.85208784323186,325.33510683337227,None,None,None,325.33510683337227,None,325.33510683337227,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
15,Direct,LIE,Which polytechnic or junior college are you from?,,video/V1.mp4,,,,,,,,,0,2,2,2,,330.1844970532693,330.7176545015536,333.8010623678565,334.3007730045356,337.1340114874765,337.66690299101174,339.4004974998534,339.90020492859185,341.5497108292766,None,None,None,341.5497108292766,None,341.5497108292766,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
1,Direct,LIE,Which primary school are you from?,,video/V6.mp4,,,,,,,,,0,3,3,3,,344.54969671415165,345.06643327279016,351.38250051019713,351.8825614624657,354.91558545734733,355.44875541701913,357.5149753559381,358.0149086294696,359.9817640129477,None,0.5212962962962963,8.16784839425236,359.9817640129477,None,359.9817640129477,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
26,Direct,TRUTH,How often do you smoke?,,video/V33.mp4,,,,,,,,,0,4,4,4,,369.01403957698494,369.53075047116727,372.5803807792254,373.0802271151915,375.9799919030629,376.51339829387143,377.7464220956899,378.2631435771473,379.2795686367899,None,1,2.649781790561974,379.2795686367899,None,379.2795686367899,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
