StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,Q17,Q1_4,Q2_4,Q3_4,Q4_4,Q5_4,Q6_4,Q7_4,Q8_4,Q9_4,Q10_1,Q11_1,Q12_4,Q13_4,Q14_4,Q15_4,Q16_4,Q18
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please indicate your subject code:,"On average, how many lies do you tell in a day? Please enter a number in the box below.",I lie frequently,I have a tendency to lie,I lie more often than most people do,I am a good liar,I can lie well,It is hard for others to detect my lies,It is easy for me to make up clever lies,I find it difficult to refrain myself from lying,I feel guilty after lying,I lie when necessary - 1,I always avoid lying if I can - 1,I would lie if something important was at stake,Lying is against my principles,It is acceptable to lie depending on the context,It is okay to lie sometimes,It is bad to lie,"On average, how many lies do you tell in a week? Please enter a number in the box below."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID360_TEXT""}","{""ImportId"":""QID268_TEXT""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID26_4""}","{""ImportId"":""QID28_4""}","{""ImportId"":""QID263_1""}","{""ImportId"":""QID264_1""}","{""ImportId"":""QID38_4""}","{""ImportId"":""QID40_4""}","{""ImportId"":""QID41_4""}","{""ImportId"":""QID42_4""}","{""ImportId"":""QID43_4""}","{""ImportId"":""QID269_TEXT""}"
2021-02-02 01:29:32,2021-02-02 01:31:37,IP Address,155.69.190.53,100,125,True,2021-02-02 01:31:38,R_24JcRpj2nLsMoch,,,,,1.2928924560546875,103.854705810546875,anonymous,EN,001,0,-7.7,-5.2,-7.9,-2.5,-2.6,2.7,-10,-10,1.3,10,10,10,1.7,10,10,6.9,3
2021-02-04 01:55:06,2021-02-04 02:00:02,IP Address,155.69.190.53,100,296,True,2021-02-04 02:00:02,R_3PtMoQ7CYzzINcj,,,,,1.3029022216796875,103.85699462890625,anonymous,EN,002,4,-3.2,-1.5,0.5,-6.6,-7.9,-6.6,-5.9,2.1,6.3,1.7,4,-2.5,-3.2,4.1,3.3,4.1,20
2021-02-09 21:45:45,2021-02-09 23:59:33,IP Address,155.69.192.53,100,8028,True,2021-02-09 23:59:34,R_2Vx2iA6fpisiZLw,,,,,1.316497802734375,103.923187255859375,anonymous,EN,005,1,-1.1,0.9,-2.3,3,-1.1,2.8,1.8,6.2,7.7,0.7,7.6,3.7,10,4,2.3,4.1,4
2021-02-10 00:14:29,2021-02-10 01:39:34,IP Address,155.69.192.53,100,5105,True,2021-02-10 01:39:35,R_1puMYuD8uoxxlFX,,,,,1.316497802734375,103.923187255859375,anonymous,EN,004,1,-6,-3.2,-3,2.7,2.1,4,-5.1,2.5,2.3,3.4,4,4.1,-2.6,1.9,2.5,3.7,6
2021-02-14 20:14:02,2021-02-14 22:56:31,IP Address,155.69.192.53,100,9749,True,2021-02-14 22:56:32,R_1cU4pTG1sAJLt2V,,,,,1.316497802734375,103.923187255859375,anonymous,EN,003,10,1.8,-1.2,-0.9,2.7,4.2,3.3,2.6,-1.2,1.3,2.6,8.6,8.4,8.7,7.7,1.4,6,100
2021-02-15 17:44:44,2021-02-15 18:58:49,IP Address,155.69.192.53,100,4445,True,2021-02-15 18:58:49,R_1I9LoPAzzooStwJ,,,,,1.316497802734375,103.923187255859375,anonymous,EN,007,2,-3.9,-2.9,-2.4,-3.4,-2,0.1,-2.2,-2.9,3.8,2.6,2.9,3.4,2.4,0.1,1,4.9,10
2021-02-15 19:37:21,2021-02-15 22:16:23,IP Address,155.69.192.53,100,9542,True,2021-02-15 22:16:23,R_2dW3riOKxcJ4Qjj,,,,,1.316497802734375,103.923187255859375,anonymous,EN,010,1,-2.8,-2.6,-0.3,-1.8,-2.5,-0.7,-2.7,-1.6,7,5.5,10,5.5,3.8,7.5,3.3,5,3
2021-02-15 22:47:19,2021-02-16 00:10:30,IP Address,155.69.192.53,100,4991,True,2021-02-16 00:10:30,R_30dbvDs3cSikIcc,,,,,1.316497802734375,103.923187255859375,anonymous,EN,011,5,-1.6,0.6,0.7,1.9,3.6,1.3,-1.7,-1.1,1.2,1.3,0.9,-3.2,2,2.3,5.6,7.3,25
