StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3_1,Q4_1,Q5_1,Q6_1,Q7
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please indicate your subject ID:,To what extend did you believe that there was a live examiner watching you during the social condition?,"If you did not believe that the examiner was real, how early or late did did you figure out that the live examiner was fake?",To what extend did you believe that you were watching your own live physiological signals during the polygraph condition ?,"If you did not believe that the signals was real, how early or late did you figure out that the physiological signals were not real?","Before we explained to you the true intentions of the study and what each conditions represented, did you suspect what we were trying to accomplish with it?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_TEXT""}"
2021-02-02 01:39:09,2021-02-02 01:40:11,IP Address,155.69.190.53,100,61,True,2021-02-02 01:40:11,R_1MKVqM0QRR8dtHS,,,,,1.3029022216796875,103.85699462890625,anonymous,EN,001,3,3,5,4,no
2021-02-04 02:09:29,2021-02-04 02:13:46,IP Address,155.69.190.53,100,257,True,2021-02-04 02:13:46,R_3Pt8AqVPRCN0vFV,,,,,1.2928924560546875,103.854705810546875,anonymous,EN,002,2,2,I could tell that it was a recording,5,Only to a small extent
2021-02-10 00:05:04,2021-02-10 00:06:21,IP Address,155.69.192.53,100,76,True,2021-02-10 00:06:22,R_2UWKiiTnyVKm1ih,,,,,1.316497802734375,103.923187255859375,anonymous,EN,005,5,4,I believed it was a live examiner,3,"Yes, I have suspected that the study was on deception and our corresponding physical reactions to it based on the title."
2021-02-10 01:49:12,2021-02-10 01:50:52,IP Address,155.69.192.53,100,100,True,2021-02-10 01:50:52,R_2YGthFp4TyqQbd2,,,,,1.316497802734375,103.923187255859375,anonymous,EN,004,I believed it was a live examiner,I did not know at all,5,5," no, i was not sure what the intention of the study was"
2021-02-14 23:03:31,2021-02-14 23:04:31,IP Address,155.69.192.53,100,59,True,2021-02-14 23:04:31,R_xabRMUKy7xQ7kPv,,,,,1.316497802734375,103.923187255859375,anonymous,EN,003,2,2,I believed it was a live examiner,I did not know at all,Na
2021-02-15 19:04:24,2021-02-15 19:05:00,IP Address,155.69.192.53,100,36,True,2021-02-15 19:05:01,R_2TSgCD4hThjUuYY,,,,,1.316497802734375,103.923187255859375,anonymous,EN,007,I believed it was a live examiner,I did not know at all,I believed it was a live examiner,I did not know at all,nope
2021-02-15 22:21:12,2021-02-15 22:21:46,IP Address,155.69.192.53,100,34,True,2021-02-15 22:21:47,R_2TznyEkvoQANpvS,,,,,1.316497802734375,103.923187255859375,anonymous,EN,010,I believed it was a live examiner,I did not know at all,I believed it was a live examiner,I did not know at all,no
2021-02-16 00:18:14,2021-02-16 00:20:56,IP Address,155.69.192.53,100,161,True,2021-02-16 00:20:56,R_2V8WWvQp2269Ed4,,,,,1.316497802734375,103.923187255859375,anonymous,EN,011,I believed it was a live examiner,I did not know at all,5,4,"I had a suspicion that for the second session, the bio-signals were fake to trick me into thinking that I could see if there were changes in the condiitions"
2021-02-16 01:55:37,2021-02-16 01:57:43,IP Address,155.69.192.53,100,126,True,2021-02-16 01:57:43,R_3imylJZYM2KgrWr,,,,,1.316497802734375,103.923187255859375,anonymous,EN,022,4,3,I believed it was a live examiner,I did not know at all,"No, but i thought it was a budget thing to use a fake person because its gonna be too taxing on the system to have a checker to be on standby, when like everyone needs to go to class or teach."
2021-02-16 20:50:36,2021-02-16 20:51:55,IP Address,155.69.192.53,100,79,True,2021-02-16 20:51:56,R_331Gb4JqWyQoG40,,,,,1.316497802734375,103.923187255859375,anonymous,EN,015,I believed it was a live examiner,I did not know at all,2,4,no i did not suspect anything
2021-02-16 22:52:13,2021-02-16 22:54:37,IP Address,155.69.192.53,100,143,True,2021-02-16 22:54:37,R_Q48Dd3qVHjkUH9T,,,,,1.316497802734375,103.923187255859375,anonymous,EN,009,I believed it was a live examiner,I did not know at all,4,4,"No, I did not suspect."
2021-02-17 00:15:10,2021-02-17 00:16:53,IP Address,155.69.192.53,100,103,True,2021-02-17 00:16:53,R_3Dj81FonnKbn1yZ,,,,,1.316497802734375,103.923187255859375,anonymous,EN,006,I believed it was a live examiner,I did not know at all,I believed it was a live examiner,I did not know at all,"No, I did not suspect anything as I truly believed the instructions given to me."
2021-02-17 02:00:14,2021-02-17 02:01:24,IP Address,155.69.192.53,100,69,True,2021-02-17 02:01:24,R_3GjMb1mXJR5PTL8,,,,,1.316497802734375,103.923187255859375,anonymous,EN,008,I believed it was a live examiner,I did not know at all,2,I did not know at all,No
2021-02-17 19:01:37,2021-02-17 19:02:21,IP Address,155.69.192.53,100,44,True,2021-02-17 19:02:21,R_2cB1nit7U4BgXiv,,,,,1.316497802734375,103.923187255859375,anonymous,EN,029,I believed it was a live examiner,I did not know at all,5,5,No
2021-02-17 20:49:28,2021-02-17 20:50:56,IP Address,155.69.192.53,100,88,True,2021-02-17 20:50:56,R_3OcS9UcF8heBojB,,,,,1.316497802734375,103.923187255859375,anonymous,EN,016,I believed it was a live examiner,I did not know at all,2,I did not know at all,"No, I did not suspect."
2021-02-17 22:03:47,2021-02-17 22:06:25,IP Address,155.69.192.53,100,157,True,2021-02-17 22:06:25,R_2E4qthm3dX1GxWQ,,,,,1.316497802734375,103.923187255859375,anonymous,EN,023,4,3,I believed it was a live examiner,I did not know at all,trying to figure out if I was lying or telling the truth?
2021-02-18 00:28:11,2021-02-18 00:29:32,IP Address,155.69.192.53,100,81,True,2021-02-18 00:29:32,R_DGWIgug7D0xyXy9,,,,,1.316497802734375,103.923187255859375,anonymous,EN,021,I believed it was a live examiner,I did not know at all,5,3,I thought the study was about seeing how good people were at telling lies or deciphering when other people told lies.
2021-02-18 01:50:56,2021-02-18 01:52:14,IP Address,155.69.192.53,100,77,True,2021-02-18 01:52:14,R_w0t4caqck6E9MSB,,,,,1.316497802734375,103.923187255859375,anonymous,EN,019,3,2,4,3,no
2021-02-18 19:34:34,2021-02-18 19:36:12,IP Address,155.69.192.53,100,98,True,2021-02-18 19:36:12,R_2uBQwkwynHzyXk4,,,,,1.316497802734375,103.923187255859375,anonymous,EN,013,I believed it was a live examiner,I did not know at all,3,I did not know at all,"No, I did not suspect otherwise."
2021-02-18 20:45:24,2021-02-18 20:46:23,IP Address,155.69.192.53,100,58,True,2021-02-18 20:46:23,R_3HjI9r3ockkU0M2,,,,,1.316497802734375,103.923187255859375,anonymous,EN,017,4,4,I believed it was a live examiner,4,nope
2021-02-18 22:09:28,2021-02-18 22:10:48,IP Address,155.69.192.53,100,79,True,2021-02-18 22:10:49,R_b3Bdo13BnuOMJ6F,,,,,1.316497802734375,103.923187255859375,anonymous,EN,018,3,4,I believed it was a live examiner,I did not know at all,"no, not really"
2021-02-19 00:01:56,2021-02-19 00:03:08,IP Address,155.69.192.53,100,71,True,2021-02-19 00:03:08,R_OvfiNq8TVABNOrn,,,,,1.316497802734375,103.923187255859375,anonymous,EN,012,5,5,3,4,I suspected that there wasn't a live video examiner to assess our responses
2021-02-19 02:07:16,2021-02-19 02:09:14,IP Address,155.69.192.53,100,117,True,2021-02-19 02:09:15,R_1gSWCQcp1A9SmOv,,,,,1.316497802734375,103.923187255859375,anonymous,EN,014,I believed it was a live examiner,I did not know at all,4,4,"I thought my task was to deceive people/ the machine, but I learned that the experiment was trying to deceive me and convince that I was the one doing the deceiving."
