item,style,condition,question,video,,,,
2,Direct,LIE,Which secondary school did you attend?,video/V19.mp4,river valley,.,,
17,Direct,TRUTH,Where did you celebrate your 21st birthday?,video/V16.mp4,restaurant in croatia,.,,
28,Direct,TRUTH,What religion do you practice?,video/V36.mp4,christian,.,,
14,Indirect,TRUTH,Is your favourite flavour Spicy Cod Roe?,video/V2.mp4,spicy cod roe,.,,
7,Direct,TRUTH,What is your favourite sport?,video/V15.mp4,dance martial arts,.,,
2,Direct,TRUTH,Which secondary school did you attend?,video/V18.mp4,bukit batok,.,,
21,Indirect,LIE,Are you from School of Engineering in NTU?,video/V40.mp4,school of arts,.,,
14,Direct,LIE,"What is your favourite flavour?(E.g. chocolate, vanilla, milktea; it can be a complicated flavour)",video/V13.mp4,nacho cheese,.,,
22,Indirect,TRUTH,Are you in your 1st year in NTU?,video/V20.mp4,3,.,,
7,Indirect,LIE,"Is your favourite sport Dance, Martial Arts?",video/V5.mp4,badminton,.,,
19,Indirect,LIE,Is the Woodlands station the closest MRT to your house?,video/V9.mp4,woodlands,.,,
16,Direct,TRUTH,"How many siblings do you have? (Eg. 0, 1, 2, 3)",video/V37.mp4,3,.,,
13,Indirect,LIE,Is your dream job a Scientist when you were growing up?,video/V10.mp4,actor,.,,
8,Direct,TRUTH,What is your favourite food?,video/V31.mp4,grilled lobster,.,,
6,Indirect,LIE,Were you in the Basketball CCA during secondary school?,video/V38.mp4,badminton,.,,
15,Direct,LIE,Which polytechnic or junior college are you from?,video/V30.mp4,pioneer jc,.,,
26,Direct,LIE,How often do you smoke?,video/V1.mp4,once a week,.,,
19,Direct,TRUTH,Which MRT station is closest to your house?,video/V24.mp4,beauty world,.,,
13,Indirect,TRUTH,Is your dream job a Teacher when you were growing up?,video/V33.mp4,scientist,.,,
22,Direct,LIE,"Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",video/V7.mp4,2,.,,
29,Indirect,LIE,Do you use a Samsung phone?,video/V6.mp4,xiaomi,.,,
1,Indirect,TRUTH,Are you from Punggol Primary School?,video/V39.mp4,pei hua,.,,
8,Indirect,LIE,Is your favourite food Grilled Lobster?,video/V28.mp4,spaghetti with meatballs,.?,hesitated abit,cursed after the response
6,Direct,TRUTH,What CCA (Co-curricular Activity) did you join in secondary school?,video/V21.mp4,concert band,.,,
27,Indirect,LIE,Do you not drink alcohol at all? ,video/V22.mp4,almost hardly,.,,
16,Direct,LIE,"How many siblings do you have? (Eg. 0, 1, 2, 3)",video/V26.mp4,2,.,,
23,Direct,LIE,What course are you studying?,video/V4.mp4,aerospace engineering,.,,
21,Direct,TRUTH,"Which school in NTU are you from? (Eg. NBS, SSS, SOH)",video/V35.mp4,smse,.,,
27,Indirect,TRUTH,Do you drink alcohol socially?,video/V23.mp4,when the occasion ask for it,/,,
23,Direct,TRUTH,What course are you studying?,video/V27.mp4,mse,.,,
30,Direct,LIE,What brand of laptop do you mainly use?,video/V17.mp4,macbook,.,,
29,Indirect,TRUTH,Do you use a Apple phone?,video/V12.mp4,do not use apple,/,,
26,Indirect,TRUTH,Do you not smoke at all? ,video/V25.mp4,do no smoke,.,,
15,Indirect,TRUTH,Are you from Jurong Junior College?,video/V8.mp4,jurong jc,.,,
1,Indirect,LIE,Are you from Pei Hwa Presbyterian Primary School?,video/V3.mp4,No I am not,/,,
28,Direct,LIE,What religion do you practice?,video/V29.mp4,buddhism,.,,
20,Direct,TRUTH,Which floor of the building is your house on?,video/V14.mp4,12,.,,
30,Indirect,TRUTH,Do you use a HP laptop?,video/V32.mp4,hp,.,,
17,Direct,LIE,Where did you celebrate your 21st birthday?,video/V11.mp4,swensens,.,,
20,Direct,LIE,Which floor of the building is your house on?,video/V34.mp4,14,.,,
