item,style,condition,question,video,,,
19,Indirect,TRUTH,Is the Bukit Panjang station the closest MRT to your house?,video/V34.mp4,bukit panjang,.,
5,Indirect,TRUTH,Is your favourite country Japan?,video/V4.mp4,japan,.,
21,Indirect,TRUTH,Are you from School of Humanities in NTU?,video/V31.mp4,not from soh,/,
12,Direct,TRUTH,What was your favourite subject back in secondary school?,video/V22.mp4,math,.,
15,Indirect,TRUTH,Are you from Innova Junior College?,video/V38.mp4,innova,.,
29,Indirect,LIE,Do you use a Apple phone?,video/V11.mp4,don’t use apple,/,
3,Direct,LIE,Who is your closest friend back in secondary school?,video/V7.mp4,wendy,.,
4,Indirect,LIE,Is Mrs Lee your favourite teacher in secondary school?,video/V28.mp4,mrs lee,.,
5,Indirect,LIE,Is your favourite country Taiwan?,video/V8.mp4,taiwan,.,
6,Direct,TRUTH,What CCA (Co-curricular Activity) did you join in secondary school?,video/V18.mp4,girl guides,.,
2,Indirect,LIE,Are you from Anderson Secondary School?,video/V12.mp4,anderson,.,
1,Indirect,LIE,Are you from Wellington Primary School?,video/V6.mp4,not from wellington,/,
12,Indirect,LIE,Was your favourite subject Mathematics back in secondary school?,video/V32.mp4,not mathematics,/,
15,Direct,LIE,Which polytechnic or junior college are you from?,video/V24.mp4,pioneer jc,.,
13,Direct,LIE,What is your dream job growing up?,video/V5.mp4,teacher,.,
21,Direct,LIE,"Which school in NTU are you from? (Eg. NBS, SSS, SOH)",video/V23.mp4,NBS,.,
20,Indirect,TRUTH,Is your house on the 9th floor of the building?,video/V37.mp4,not 9th floor,/,
26,Direct,TRUTH,How often do you smoke?,video/V17.mp4,do not smoke,.,
24,Direct,LIE,"How old is your mum? (Eg. 45, 52)",video/V15.mp4,50,.,
6,Indirect,LIE,Were you in the Floorball CCA during secondary school?,video/V13.mp4,floorball,.,
28,Direct,LIE,What religion do you practice?,video/V21.mp4,christian,.,
23,Indirect,LIE,Are you studying Mathematical Science course in NTU?,video/V39.mp4,not studying MS,/,
24,Indirect,TRUTH,Is your mum 54 years old this year?,video/V36.mp4,not 54,/,
14,Indirect,TRUTH,Is your favourite flavour Pistachio?,video/V19.mp4,pistachio,.,
29,Direct,TRUTH,What brand of handphone do you use?,video/V27.mp4,apple,.,
28,Direct,TRUTH,What religion do you practice?,video/V25.mp4,buddhism,.,
4,Direct,TRUTH,Who is your favourite teacher in secondary school?,video/V10.mp4,ms chia,.,
20,Direct,LIE,Which floor of the building is your house on?,video/V1.mp4,3,.,
1,Indirect,TRUTH,Are you from Punggol Primary School?,video/V26.mp4,not from punggol,/,
2,Indirect,TRUTH,Are you from Ahmad Ibrahim Secondary School?,video/V33.mp4,ahmad ibrahim,.,
3,Indirect,TRUTH,Is Cherise your closest friend back in secondary school?,video/V14.mp4,cherise,.,stutter
16,Indirect,LIE,Do you have 4 siblings?,video/V2.mp4,do not have 4 sibling,/,
16,Direct,TRUTH,"How many siblings do you have? (Eg. 0, 1, 2, 3)",video/V3.mp4,4,.,
26,Indirect,LIE,Do you smoke socially?,video/V35.mp4,socially,.,
19,Indirect,LIE,Is the Yishun station the closest MRT to your house?,video/V9.mp4,yishun,.,
13,Direct,TRUTH,What is your dream job growing up?,video/V16.mp4,dentist,.,
23,Indirect,TRUTH,Are you studying Business course in NTU?,video/V40.mp4,not studying business,/,
14,Direct,LIE,"What is your favourite flavour?(E.g. chocolate, vanilla, milktea; it can be a complicated flavour)",video/V20.mp4,chocolate,.,
22,Direct,LIE,"Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",video/V29.mp4,2,.,
22,Indirect,TRUTH,Are you in your 2nd year in NTU?,video/V30.mp4,not 2nd year,/,
