"","ID","HCT_hbcount_20","HCT_hbcount_25","HCT_hbcount_30","HCT_hbcount_35","HCT_hbcount_40","HCT_confidence_20","HCT_confidence_25","HCT_confidence_30","HCT_confidence_35","HCT_confidence_40","HCT_confidenceRT_20","HCT_confidenceRT_25","HCT_confidenceRT_30","HCT_confidenceRT_35","HCT_confidenceRT_40"
"1",1,23,34,43,53,54,"0.39537037037037","0.50462962962963","0.350925925925926","0.214814814814815","0.337962962962963","5.83035126526374","4.46479936409742","2.28219215525314","2.86363318481017","3.01319811318535"
"2",2,18,22,30,32,41,"0.211111111111111","0.0861111111111111","0.0398148148148148","0.149074074074074","0.367592592592593","2.39755029208027","1.98081123107113","1.71410996071063","3.2810353434179","2.53291684691794"
"3",3,21,24,28,36,30,"0","0","0","0","0","0","0","0","0","0"
"4",4,44,47,58,70,98,"0.872222222222222","0.716666666666667","0.716666666666667","0.716666666666667","0.744444444444444","5.59980982868001","1.54922962631099","2.06319862650707","1.78154028579593","3.19916251441464"
"5",5,15,22,NA,21,30,"0.362037037037037","0.660185185185185","0.511111111111111","0.723148148148148","0.660185185185185","4.99613979016431","2.08086968143471","3.86636160523631","2.73264750163071","1.64770684344694"
"6",6,10,10,14,16,16,"0.90462963","0.9","0.865740741","0.90462963","0.865740741","8.180743029","3.013925692","3.329713511","38.5602264","1.99714775"
"7",7,20,23,33,40,38,"0.402777777777778","0.656481481481481","0.90462962962963","0.456481481481481","0.456481481481481","1.85163005860522","3.21613005083054","2.04934511473402","1.66474078549072","2.35010272078216"
"8",8,27,28,37,38,49,"0.201851851851852","0.283333333333333","0.293518518518519","0.218518518518519","0.218518518518519","1.69737243931741","3.36566642764956","3.18385095801204","2.16400326183066","3.1472044675611"
"9",9,25,29,30,33,38,"0.583333333","0.557407407","0.418518519","0.486111111","0.723148148","1.596882511","1.864124012","4.066794816","2.548248935","3.582208388"
"10",10,20,22,31,35,46,"0.714814815","0.665740741","0.57962963","0.665740741","0.714814815","1.846757719","2.914455913","2.280141268","1.964966822","2.314407408"
"11",11,17,24,26,36,31,"0.72962963","0.47962963","0.448148148","0.312962963","0.687037037","2.280970221","14.34626593","4.282880917","3.113399961","3.047403301"
"12",12,23,26,28,40,50,"0.933333333333333","0.862037037037037","0.666666666666667","0.931481481481481","0.931481481481481","2.51410469925031","2.44665191834792","3.58355126483366","1.28105779970065","1.41468689125031"
"13",13,7,11,3,26,19,"0.061111111","0.067592593","0.000925926","0.256481481","0.135185185","2.331448729","2.630621573","2.265283967","17.26255458","1.86462318"
"14",14,30,43,53,33,52,"0.107407407407407","0.139814814814815","0.107407407407407","0.107407407407407","0.192592592592593","3.23296188749373","3.71382284304127","1.59779230505228","2.45020864950493","3.41482002381235"
"15",15,19,16,24,21,30,"0.923148148148148","0.800925925925926","0.877777777777778","0.59537037037037","0.868518518518518","6.59936134750023","1.6641091266647","4.4000041061081","2.29698337102309","2.21429570484906"
"16",16,23,25,35,36,42,"0.774074074074074","0.774074074074074","0.774074074074074","0.669444444444445","0.238888888888889","3.93053546966985","1.51418554130942","1.3169016437605","2.64931791089475","5.28325465135276"
"17",17,14,20,27,40,30,"0.49537037037037","0.276851851851852","0.310185185185185","0.00925925925925924","0.176851851851852","1.94731726124883","1.981584363617","2.68126946501434","2.06513049593195","3.39944366551936"
"18",18,22,27,29,35,42,"0.2","0.610185185185185","0.30462962962963","0.69537037037037","0.341666666666667","1.81402982445434","1.81497843563557","1.88095873594284","2.43312690826133","1.86462799133733"
"19",19,16,23,23,27,40,"0","0","0","0","0","0","0","0","0","0"
"20",20,25,34,41,45,57,"0.640740741","0.351851852","0.183333333","0.481481481","0.351851852","3.647040538","2.331592127","5.164272415","2.380729362","8.430828041"
"21",21,18,22,37,35,32,"0.10462962962963","0.346296296296296","0.123148148148148","0.27037037037037","0","9.23001018865034","2.18121139938012","2.29888251842931","4.72953283553943","1.59728319244459"
"22",22,24,30,40,77,44,"0.776851851851852","0.797222222222222","0.953703703703704","0.868518518518518","0.471296296296296","1.31419696239755","0.698196579702199","2.0800660722889","2.17992819193751","1.53119478235021"
"23",23,12,24,22,23,29,"0","0","0","0","0","0","0","0","0","0"
"24",24,16,19,21,25,27,"0.0592592592592592","0.0592592592592592","0.151851851851852","0.131481481481481","0.131481481481481","1.58145835297182","2.43110425164923","3.13061547745019","1.69976273458451","4.4470641487278"
"25",25,13,14,21,31,25,"0.763888888888889","0.655555555555556","0.556481481481481","0.668518518518519","0.725","2.43033368512988","2.21609091246501","2.58077761111781","4.93257673271","2.58182182163"
"26",26,NA,32,42,32,40,"0.336111111111111","0.917592592592593","0.925","0.748148148148148","0.812962962962963","17.0454983785748","4.03152713272721","2.93167816661298","2.89712651260197","3.29783542081714"
"27",27,11,13,10,17,19,"0.155555556","0.236111111","0.125925926","0.125925926","0.236111111","4.463382702","2.065067939","2.16559829","1.347912285","1.733726038"
"28",28,35,27,32,43,45,"0.561111111","0.356481481","0.637962963","0.562037037","0.737962963","1.431998326","2.129855819","2.747849985","2.798006729","2.312922737"
"29",29,22,25,34,34,46,"0.949074074074074","0.782407407407407","0.949074074074074","0.707407407407407","0.949074074074074","1.88110630493611","3.49947965890169","1.81585358316079","6.13012240501121","0.965401830151677"
"30",30,20,26,38,42,65,"0.905555555555556","0.973148148148148","0.973148148148148","0.366666666666667","0.905555555555556","1.61514255777001","2.64729653811082","1.39805074315518","2.56565340282395","1.63141106674448"
