"","item","style","condition","question","subresp","RT","participant"
"1","19","Direct","TRUTH","Which MRT station is closest to your house?",0.287037037037037,5.49720517336391,"001"
"2","18","Direct","TRUTH","What was the last country you visited?",0.355555555555556,4.73554113507271,"001"
"3","14","Indirect","LIE","Is your favourite flavour Vanilla?",0.301851851851852,4.49967951886356,"001"
"4","21","Indirect","LIE","Are you from Nanyang Business School in NTU?",0.315740740740741,3.76635416271165,"001"
"5","17","Indirect","LIE","Did you celebrate your 21st birthday at MBS?",0.269444444444444,2.2662168595707,"001"
"6","20","Direct","TRUTH","Which floor of the building is your house on?",0.315740740740741,2.5027332326863,"001"
"7","26","Direct","LIE","How often do you smoke?",0.321296296296296,2.48267509054858,"001"
"8","1","Indirect","LIE","Are you from Temasek Primary School?",0.333333333333333,2.20024490018841,"001"
"9","2","Direct","TRUTH","Which secondary school did you attend?",0.268518518518518,2.95006749674212,"001"
"10","23","Indirect","TRUTH","Are you studying Linguistics and Multilingual Studies course in NTU?",0.5,2.40049268770963,"001"
"11","27","Indirect","TRUTH","Do you drink alcohol socially?",0.507407407407407,2.53554934763815,"001"
"12","30","Indirect","LIE","Do you use a Acer laptop?",0.413888888888889,2.64966373541392,"001"
"13","16","Indirect","TRUTH","Do you have 2 siblings?",0.522222222222222,2.20097023341805,"001"
"14","2","Direct","LIE","Which secondary school did you attend?",0.334259259259259,2.96686725341715,"001"
"15","7","Direct","TRUTH","What is your favourite sport?",0.516666666666667,2.4176247951109,"001"
"16","23","Direct","LIE","What course are you studying?",0.371296296296296,2.71609797037672,"001"
"17","26","Indirect","TRUTH","Do you smoke regularly?",0.491666666666667,2.86677191103809,"001"
"18","30","Indirect","TRUTH","Do you use a Lenovo laptop?",0.352777777777778,3.08346304425504,"001"
"19","29","Direct","TRUTH","What brand of handphone do you use?",0.52962962962963,5.0171763781691,"001"
"20","22","Indirect","TRUTH","Are you in your 1st year in NTU?",0.50462962962963,2.30002906464506,"001"
"21","7","Indirect","LIE","Is your favourite sport Hockey?",0.367592592592593,3.23346137604676,"001"
"22","14","Direct","TRUTH","What is your favourite flavour?(E.g. chocolate, vanilla, milktea; it can be a complicated flavour)",0.366666666666667,2.73339978209697,"001"
"23","20","Indirect","LIE","Is your house on the 3rd floor of the building?",0.332407407407407,2.54929314507172,"001"
"24","19","Direct","LIE","Which MRT station is closest to your house?",0.362037037037037,2.43267104844563,"001"
"25","10","Indirect","LIE","Do you hate eating Eggplant the most?",0.358333333333333,3.93473893776536,"001"
"26","22","Indirect","LIE","Are you in your 3rd year in NTU?",0.359259259259259,3.33273514464963,"001"
"27","10","Direct","TRUTH","What food do you hate the most?",0.388888888888889,2.58314801682718,"001"
"28","6","Indirect","TRUTH","Were you in the Volleyball CCA during secondary school?",0.398148148148148,2.55072584643494,"001"
"29","27","Direct","LIE","How frequently do you drink alcohol?",0.337037037037037,2.98291697516106,"001"
"30","15","Indirect","LIE","Are you from Hwa Chong Institution (College)?",0.425,2.7493221454788,"001"
"31","17","Direct","TRUTH","Where did you celebrate your 21st birthday?",0.385185185185185,3.96621634624898,"001"
"32","21","Indirect","TRUTH","Are you from the School of Humanities in NTU?",0.385185185185185,2.00159534811974,"001"
"33","28","Direct","LIE","What religion do you practice?",0.492592592592593,1.98174701048993,"001"
"34","28","Direct","TRUTH","What religion do you practice?",0.526851851851852,1.89867855259217,"001"
"35","1","Indirect","TRUTH","Are you from Tao Nan Primary School?",0.490740740740741,2.31585999950767,"001"
"36","6","Indirect","LIE","Were you in the Infocomm Club CCA during secondary school?",0.332407407407407,2.7001419228036,"001"
"37","18","Indirect","LIE","Was the last country you visited Malaysia?",0.488888888888889,2.03359470132273,"001"
"38","16","Indirect","LIE","Do you have 4 siblings?",0.457407407407407,5.1337663945742,"001"
"39","29","Direct","LIE","What brand of handphone do you use?",0.35462962962963,3.13406602363102,"001"
"40","15","Indirect","TRUTH","Are you from Singapore Polytechnic?",0.517592592592593,2.6830303465249,"001"
"41","30","Direct","LIE","What brand of laptop do you mainly use?",0.49537037037037,3.00123989954591,"001"
"42","18","Indirect","TRUTH","Was the last country you visited Australia?",0.323148148148148,2.03243179433048,"001"
"43","7","Direct","LIE","What is your favourite sport?",0.349074074074074,2.59941427980084,"001"
"44","1","Direct","TRUTH","Which primary school are you from?",0.498148148148148,2.21706615062431,"001"
"45","23","Direct","TRUTH","What course are you studying?",0.486111111111111,2.40013788070064,"001"
"46","7","Indirect","TRUTH","Is your favourite sport Kayaking?",0.381481481481481,7.36677736474667,"001"
"47","2","Indirect","TRUTH","Are you from Serangoon Secondary School?",0.689814814814815,8.18235570006073,"001"
"48","27","Indirect","LIE","Do you drink alcohol rarely?",0.412037037037037,3.76801912498195,"001"
"49","23","Indirect","LIE","Are you studying Sociology course in NTU?",0.337037037037037,2.55196029238869,"001"
"50","19","Indirect","LIE","Is the Canberra station the closest MRT to your house?",0.37037037037037,1.90010932926089,"001"
"51","30","Direct","TRUTH","What brand of laptop do you mainly use?",0.519444444444444,1.43095379555598,"001"
"52","22","Direct","TRUTH","Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",0.503703703703704,2.25247306225356,"001"
"53","21","Direct","LIE","Which school in NTU are you from? (Eg. NBS, SSS, SOH)",0.330555555555556,2.38344687584322,"001"
"54","6","Direct","LIE","What CCA (Co-curricular Activity) did you join in secondary school?",0.5,2.56784319714643,"001"
"55","26","Direct","TRUTH","How often do you smoke?",0.839814814814815,6.18267938925419,"001"
"56","10","Indirect","TRUTH","Do you hate eating cheese the most?",0.769444444444444,4.333312908886,"001"
"57","14","Direct","LIE","What is your favourite flavour?(E.g. chocolate, vanilla, milktea; it can be a complicated flavour)",0.518518518518518,2.63359284074977,"001"
"58","28","Indirect","LIE","Is your religion Catholicism?",0.400925925925926,2.70035750162788,"001"
"59","16","Direct","TRUTH","How many siblings do you have? (Eg. 0, 1, 2, 3)",0.790740740740741,3.18628841114696,"001"
"60","16","Direct","LIE","How many siblings do you have? (Eg. 0, 1, 2, 3)",0.366666666666667,2.91610643954482,"001"
"61","26","Indirect","LIE","Do you not smoke at all?",0.353703703703704,3.36706672806758,"001"
"62","6","Direct","TRUTH","What CCA (Co-curricular Activity) did you join in secondary school?",0.54537037037037,2.66814096551389,"001"
"63","22","Direct","LIE","Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",0.477777777777778,1.78118162904866,"001"
"64","20","Direct","LIE","Which floor of the building is your house on?",0.356481481481482,2.98295707534999,"001"
"65","29","Indirect","LIE","Do you use a Samsung phone?",0.302777777777778,2.56633863598108,"001"
"66","27","Direct","TRUTH","How frequently do you drink alcohol?",0.550925925925926,3.26617387204897,"001"
"67","20","Indirect","TRUTH","Is your house on the 12th floor of the building?",0.656481481481481,2.43408610578626,"001"
"68","2","Indirect","LIE","Are you from Nanyang Girls' High School?",0.537037037037037,2.48444078455213,"001"
"69","15","Direct","TRUTH","Which polytechnic or junior college are you from?",0.701851851851852,2.74900070193689,"001"
"70","28","Indirect","TRUTH","Is your religion a free-thinker?",0.675925925925926,2.53317028039601,"001"
"71","10","Direct","LIE","What food do you hate the most?",0.689814814814815,3.93361260206439,"001"
"72","17","Direct","LIE","Where did you celebrate your 21st birthday?",0.27037037037037,4.53323411999736,"001"
"73","19","Indirect","TRUTH","Is the Bedok station the closest MRT to your house?",0.672222222222222,2.03415802959353,"001"
"74","29","Indirect","TRUTH","Do you use a Xiaomi phone?",0.689814814814815,2.56729205942247,"001"
"75","14","Indirect","TRUTH","Is your favourite flavour Chocolate?",0.705555555555555,1.9648022511974,"001"
"76","15","Direct","LIE","Which polytechnic or junior college are you from?",0.538888888888889,2.66706275008619,"001"
"77","17","Indirect","TRUTH","Did you not celebrate your 21st birthday?",0.426851851851852,4.71626254182775,"001"
"78","18","Direct","LIE","What was the last country you visited?",0.686111111111111,3.15060721396003,"001"
"79","21","Direct","TRUTH","Which school in NTU are you from? (Eg. NBS, SSS, SOH)",0.637962962962963,0.948553632362746,"001"
"80","1","Direct","LIE","Which primary school are you from?",0.351851851851852,3.68275991047267,"001"
"81","6","Indirect","LIE","Were you in the Swimming CCA during secondary school?",0.525925925925926,7.80206647794694,"002"
"82","21","Indirect","TRUTH","Are you from School of Humanities in NTU?",0.996296296296296,7.26935494411737,"002"
"83","29","Direct","TRUTH","What brand of handphone do you use?",0.996296296296296,3.61689477832988,"002"
"84","22","Direct","LIE","Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",0,8.76632047863677,"002"
"85","5","Direct","LIE","What is your favourite country you visited? ",0.218518518518519,4.79996265866794,"002"
"86","7","Indirect","TRUTH","Is your favourite sport Netball?",0.860185185185185,3.0993507609237,"002"
"87","30","Direct","TRUTH","What brand of laptop do you mainly use?",0.999074074074074,2.25043885712512,"002"
"88","15","Indirect","LIE","Are you from National Junior College?",0.160185185185185,4.68385609099641,"002"
"89","10","Direct","TRUTH","What food do you hate the most?",0.900925925925926,3.95008963206783,"002"
"90","23","Direct","LIE","What course are you studying?",0.486111111111111,2.34998145746067,"002"
"91","10","Direct","LIE","What food do you hate the most?",0.110185185185185,4.28387957345694,"002"
"92","30","Indirect","LIE","Do you use a Dell laptop?",0.0703703703703704,4.18384165479802,"002"
"93","18","Direct","TRUTH","What was the last country you visited?",0.925925925925926,2.43343551945873,"002"
"94","16","Direct","LIE","How many siblings do you have? (Eg. 0, 1, 2, 3)",0.89537037037037,2.43564135371707,"002"
"95","7","Direct","LIE","What is your favourite sport?",0.0833333333333333,2.30041498946957,"002"
"96","2","Direct","TRUTH","Which secondary school did you attend?",0.897222222222222,1.81495950836688,"002"
"97","19","Direct","TRUTH","Which MRT station is closest to your house?",0.897222222222222,2.16542730177753,"002"
"98","27","Direct","TRUTH","How frequently do you drink alcohol?",0.982407407407407,1.64843345992267,"002"
"99","27","Direct","LIE","How frequently do you drink alcohol?",0.00555555555555554,3.73497716523707,"002"
"100","20","Indirect","LIE","Is your house on the 16 floor of the building?",0.0175925925925926,4.99944501277059,"002"
"101","22","Direct","TRUTH","Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",0.986111111111111,4.66636532661505,"002"
"102","15","Indirect","TRUTH","Are you from Nanyang polytechnic?",0.993518518518518,4.55098216724582,"002"
"103","5","Indirect","TRUTH","Is your favourite country Korea?",1,3.76600641338155,"002"
"104","2","Direct","LIE","Which secondary school did you attend?",0.0574074074074074,1.83143910462968,"002"
"105","28","Direct","LIE","What religion do you practice?",0.0388888888888889,3.67039748630486,"002"
"106","1","Direct","TRUTH","Which primary school are you from?",0.968518518518519,1.49873154889792,"002"
"107","13","Indirect","LIE","Is your dream job a Scientist when you were growing up?",0.0425925925925926,2.46688842633739,"002"
"108","1","Indirect","LIE","Are you from Edgefield Primary School?",0.000925925925925941,2.96709149400704,"002"
"109","20","Indirect","TRUTH","Is your house on the 5 floor of the building?",0.962037037037037,1.0490291249007,"002"
"110","28","Indirect","TRUTH","Is your religion Christianity?",0.962037037037037,2.03534531756304,"002"
"111","19","Indirect","LIE","Is the Cityhall station the closest MRT to your house?",0.05,2.26747953612357,"002"
"112","18","Direct","LIE","What was the last country you visited?",0.05,2.00298185413703,"002"
"113","21","Direct","LIE","Which school in NTU are you from? (Eg. NBS, SSS, SOH)",0.05,1.26600448880345,"002"
"114","23","Indirect","TRUTH","Are you studying Business course in NTU?",0.95462962962963,2.51760015753098,"002"
"115","3","Indirect","TRUTH","Is Yilin your closest friend back in secondary school?",0.958333333333333,2.03354658116587,"002"
"116","13","Direct","TRUTH","What is your dream job growing up?",0.947222222222222,1.94985961704515,"002"
"117","29","Indirect","LIE","Do you use a Huawei phone?",0.0555555555555556,2.7834564356599,"002"
"118","3","Direct","LIE","Who is your closest friend back in secondary school?",0.0620370370370371,6.66573206358589,"002"
"119","6","Indirect","TRUTH","Were you in the Taekwondo CCA during secondary school?",0.961111111111111,2.5349472023081,"002"
"120","16","Indirect","TRUTH","Do you have 4 siblings?",0.961111111111111,0.981426208512858,"002"
"121","10","Indirect","TRUTH","Do you hate eating Pancakes the most?",0.977777777777778,3.26819107495248,"002"
"122","22","Indirect","LIE","Are you in your 1st year in NTU?",0.0231481481481481,2.56715507688932,"002"
"123","3","Indirect","LIE","Is Joel your closest friend back in secondary school?",0.0611111111111111,4.36914873262867,"002"
"124","7","Direct","TRUTH","What is your favourite sport?",0.951851851851852,2.56827820464969,"002"
"125","20","Direct","TRUTH","Which floor of the building is your house on?",0.951851851851852,4.06708578392863,"002"
"126","22","Indirect","TRUTH","Are you in your 3rd year in NTU?",0.951851851851852,1.54960624780506,"002"
"127","21","Indirect","LIE","Are you from School of Physical and Mathematical Sciences in NTU?",0.037962962962963,2.05005119997077,"002"
"128","19","Indirect","TRUTH","Is the Punggol station the closest MRT to your house?",0.934259259259259,2.45205229846761,"002"
"129","15","Direct","TRUTH","Which polytechnic or junior college are you from?",0.922222222222222,1.76626465911977,"002"
"130","18","Indirect","TRUTH","Was the last country you visited Taiwan?",0.92962962962963,6.90213391045108,"002"
"131","20","Direct","LIE","Which floor of the building is your house on?",0.0240740740740741,18.3837898129132,"002"
"132","3","Direct","TRUTH","Who is your closest friend back in secondary school?",0.528703703703704,7.70146587234922,"002"
"133","13","Direct","LIE","What is your dream job growing up?",0.0722222222222222,2.56590555352159,"002"
"134","15","Direct","LIE","Which polytechnic or junior college are you from?",0.0722222222222222,2.03599590412341,"002"
"135","6","Direct","LIE","What CCA (Co-curricular Activity) did you join in secondary school?",0.0722222222222222,1.63337597856298,"002"
"136","10","Indirect","LIE","Do you hate eating Ramen the most?",0.0722222222222222,1.9159008054994,"002"
"137","29","Direct","LIE","What brand of handphone do you use?",0.0722222222222222,1.63323065522127,"002"
"138","2","Indirect","TRUTH","Are you from Edgefield Secondary School?",0.938888888888889,3.15318966982886,"002"
"139","27","Indirect","TRUTH","Do you not drink alcohol at all?",0.963888888888889,5.60213788831607,"002"
"140","5","Direct","TRUTH","What is your favourite country you visited? ",0.984259259259259,1.48182368208654,"002"
"141","13","Indirect","TRUTH","Is your dream job a Teacher when you were growing up?",0.986111111111111,1.86494269827381,"002"
"142","23","Direct","TRUTH","What course are you studying?",0.987037037037037,1.51498690503649,"002"
"143","21","Direct","TRUTH","Which school in NTU are you from? (Eg. NBS, SSS, SOH)",0.986111111111111,3.88349660020322,"002"
"144","18","Indirect","LIE","Was the last country you visited Japan?",0.107407407407407,2.03337816009298,"002"
"145","5","Indirect","LIE","Is your favourite country Italy?",0.106481481481481,1.83182502957061,"002"
"146","2","Indirect","LIE","Are you from Serangoon Secondary School?",0.106481481481481,1.73364647873677,"002"
"147","1","Direct","LIE","Which primary school are you from?",0.106481481481481,1.4150628708303,"002"
"148","30","Direct","LIE","What brand of laptop do you mainly use?",0.106481481481481,3.76782119018026,"002"
"149","7","Indirect","LIE","Is your favourite sport Tennis?",0.0203703703703704,2.5674338536337,"002"
"150","27","Indirect","LIE","Do you drink alcohol socially?",0.0203703703703704,1.64917739969678,"002"
"151","28","Indirect","LIE","Is your religion Buddhism?",0.0203703703703704,1.54867143067531,"002"
"152","23","Indirect","LIE","Are you studying Chemistry and Biological Chemistry in NTU?",0.0203703703703704,1.33354388643056,"002"
"153","6","Direct","TRUTH","What CCA (Co-curricular Activity) did you join in secondary school?",0.95462962962963,1.98171781748533,"002"
"154","16","Direct","TRUTH","How many siblings do you have? (Eg. 0, 1, 2, 3)",0.95462962962963,1.46590003557503,"002"
"155","29","Indirect","TRUTH","Do you use a Samsung phone?",0.948148148148148,2.2004591957666,"002"
"156","30","Indirect","TRUTH","Do you use an Apple laptop?",0.869444444444444,5.85024194885045,"002"
"157","16","Indirect","LIE","Do you have 2 siblings?",0.0453703703703704,1.98402855382301,"002"
"158","19","Direct","LIE","Which MRT station is closest to your house?",0.0425925925925926,1.7824542503804,"002"
"159","1","Indirect","TRUTH","Are you from Woodlands Primary School?",0.955555555555555,2.10013448027894,"002"
"160","28","Direct","TRUTH","What religion do you practice?",0.950925925925926,1.56668542302214,"002"
"161","20","Direct","LIE","Which floor of the building is your house on?",0,0,"003"
"162","6","Indirect","TRUTH","Were you in the Netball CCA during secondary school?",0,0,"003"
"163","29","Direct","TRUTH","What brand of handphone do you use?",0,0,"003"
"164","24","Direct","TRUTH","How old is your mum? (Eg. 45, 52)",0,0,"003"
"165","19","Direct","TRUTH","Which MRT station is closest to your house?",0,0,"003"
"166","30","Direct","LIE","What brand of laptop do you mainly use?",0,0,"003"
