"ID","time","hbcount_reported","HCT_Confidence","HCT_ConfidenceRT","hbcount_real","numerator","denominator","HCT_Accuracy","HCT_Awareness"
1,20,23,0.39537037037037,"5.83035126526374",30,7,26.5,0.735849056603774,-0.775236333122807
1,25,34,0.50462962962963,"4.46479936409742",59,25,46.5,0.462365591397849,-0.775236333122807
1,30,43,0.350925925925926,"2.28219215525314",44,1,43.5,0.977011494252874,-0.775236333122807
1,35,53,0.214814814814815,"2.86363318481017",54,1,53.5,0.981308411214953,-0.775236333122807
1,40,54,0.337962962962963,"3.01319811318535",36,18,45,0.6,-0.775236333122807
2,20,18,0.211111111111111,"2.39755029208027",27,9,22.5,0.6,0.80245743497113
2,25,22,0.0861111111111111,"1.98081123107113",33,11,27.5,0.6,0.80245743497113
2,30,30,0.0398148148148148,"1.71410996071063",44,14,37,0.621621621621622,0.80245743497113
2,35,32,0.149074074074074,"3.2810353434179",51,19,41.5,0.542168674698795,0.80245743497113
2,40,41,0.367592592592593,"2.53291684691794",38,3,39.5,0.924050632911392,0.80245743497113
3,20,21,NA,"None",22,1,21.5,0.953488372093023,NA
3,25,24,NA,"None",38,14,31,0.548387096774194,NA
3,30,28,NA,"None",33,5,30.5,0.836065573770492,NA
3,35,36,NA,"None",29,7,32.5,0.784615384615385,NA
3,40,30,NA,"None",45,15,37.5,0.6,NA
4,20,44,0.872222222222222,"5.59980982868001",46,2,45,0.955555555555556,0.821287976033798
4,25,47,0.716666666666667,"1.54922962631099",25,22,36,0.388888888888889,0.821287976033798
4,30,58,0.716666666666667,"2.06319862650707",38,20,48,0.583333333333333,0.821287976033798
4,35,70,0.716666666666667,"1.78154028579593",30,40,50,0.2,0.821287976033798
4,40,98,0.744444444444444,"3.19916251441464",44,54,71,0.23943661971831,0.821287976033798
5,20,15,0.362037037037037,"4.99613979016431",22,7,18.5,0.621621621621622,-0.103364366783785
5,25,22,0.660185185185185,"2.08086968143471",33,11,27.5,0.6,-0.103364366783785
5,30,NA,0.511111111111111,"3.86636160523631",41,NA,NA,NA,-0.103364366783785
5,35,21,0.723148148148148,"2.73264750163071",30,9,25.5,0.647058823529412,-0.103364366783785
5,40,30,0.660185185185185,"1.64770684344694",47,17,38.5,0.558441558441559,-0.103364366783785
6,20,10,0.90462963,"8.180743029",26,16,18,0.111111111111111,-0.689989743878782
6,25,10,0.9,"3.013925692",42,32,26,-0.230769230769231,-0.689989743878782
6,30,14,0.865740741,"3.329713511",35,21,24.5,0.142857142857143,-0.689989743878782
6,35,16,0.90462963,"38.5602264",49,33,32.5,-0.0153846153846153,-0.689989743878782
6,40,16,0.865740741,"1.99714775",32,16,24,0.333333333333333,-0.689989743878782
7,20,20,0.402777777777778,"1.85163005860522",25,5,22.5,0.777777777777778,0.132712475838818
7,25,23,0.656481481481481,"3.21613005083054",30,7,26.5,0.735849056603774,0.132712475838818
7,30,33,0.90462962962963,"2.04934511473402",41,8,37,0.783783783783784,0.132712475838818
7,35,40,0.456481481481481,"1.66474078549072",37,3,38.5,0.922077922077922,0.132712475838818
7,40,38,0.456481481481481,"2.35010272078216",22,16,30,0.466666666666667,0.132712475838818
8,20,27,0.201851851851852,"1.69737243931741",32,5,29.5,0.830508474576271,-0.280400059371742
8,25,28,0.283333333333333,"3.36566642764956",50,22,39,0.435897435897436,-0.280400059371742
8,30,37,0.293518518518519,"3.18385095801204",46,9,41.5,0.783132530120482,-0.280400059371742
8,35,38,0.218518518518519,"2.16400326183066",39,1,38.5,0.974025974025974,-0.280400059371742
8,40,49,0.218518518518519,"3.1472044675611",27,22,38,0.421052631578947,-0.280400059371742
9,20,25,0.583333333,"1.596882511",48,23,36.5,0.36986301369863,-0.561997952288454
9,25,29,0.557407407,"1.864124012",43,14,36,0.611111111111111,-0.561997952288454
9,30,30,0.418518519,"4.066794816",38,8,34,0.764705882352941,-0.561997952288454
9,35,33,0.486111111,"2.548248935",30,3,31.5,0.904761904761905,-0.561997952288454
9,40,38,0.723148148,"3.582208388",25,13,31.5,0.587301587301587,-0.561997952288454
10,20,20,0.714814815,"1.846757719",33,13,26.5,0.509433962264151,-0.634336699956734
10,25,22,0.665740741,"2.914455913",29,7,25.5,0.725490196078431,-0.634336699956734
10,30,31,0.57962963,"2.280141268",43,12,37,0.675675675675676,-0.634336699956734
10,35,35,0.665740741,"1.964966822",46,11,40.5,0.728395061728395,-0.634336699956734
10,40,46,0.714814815,"2.314407408",23,23,34.5,0.333333333333333,-0.634336699956734
11,20,17,0.72962963,"2.280970221",41,24,29,0.172413793103448,-0.482140891704157
11,25,24,0.47962963,"14.34626593",31,7,27.5,0.745454545454545,-0.482140891704157
11,30,26,0.448148148,"4.282880917",38,12,32,0.625,-0.482140891704157
11,35,36,0.312962963,"3.113399961",52,16,44,0.636363636363636,-0.482140891704157
11,40,31,0.687037037,"3.047403301",24,7,27.5,0.745454545454545,-0.482140891704157
12,20,23,0.933333333333333,"2.51410469925031",30,7,26.5,0.735849056603774,0.460693339364094
12,25,26,0.862037037037037,"2.44665191834792",25,1,25.5,0.96078431372549,0.460693339364094
12,30,28,0.666666666666667,"3.58355126483366",22,6,25,0.76,0.460693339364094
12,35,40,0.931481481481481,"1.28105779970065",39,1,39.5,0.974683544303797,0.460693339364094
12,40,50,0.931481481481481,"1.41468689125031",48,2,49,0.959183673469388,0.460693339364094
13,20,7,0.061111111,"2.331448729",35,28,21,-0.333333333333333,0.878798522418724
13,25,11,0.067592593,"2.630621573",30,19,20.5,0.073170731707317,0.878798522418724
13,30,3,0.000925926,"2.265283967",39,36,21,-0.714285714285714,0.878798522418724
13,35,26,0.256481481,"17.26255458",24,2,25,0.92,0.878798522418724
13,40,19,0.135185185,"1.86462318",20,1,19.5,0.948717948717949,0.878798522418724
14,20,30,0.107407407407407,"3.23296188749373",24,6,27,0.777777777777778,-0.841368912664341
14,25,43,0.139814814814815,"3.71382284304127",37,6,40,0.85,-0.841368912664341
14,30,53,0.107407407407407,"1.59779230505228",51,2,52,0.961538461538462,-0.841368912664341
14,35,33,0.107407407407407,"2.45020864950493",41,8,37,0.783783783783784,-0.841368912664341
14,40,52,0.192592592592593,"3.41482002381235",30,22,41,0.463414634146341,-0.841368912664341
15,20,19,0.923148148148148,"6.59936134750023",20,1,19.5,0.948717948717949,-0.0546993293893305
15,25,16,0.800925925925926,"1.6641091266647",28,12,22,0.454545454545455,-0.0546993293893305
15,30,24,0.877777777777778,"4.4000041061081",37,13,30.5,0.573770491803279,-0.0546993293893305
15,35,21,0.59537037037037,"2.29698337102309",24,3,22.5,0.866666666666667,-0.0546993293893305
15,40,30,0.868518518518518,"2.21429570484906",35,5,32.5,0.846153846153846,-0.0546993293893305
16,20,23,0.774074074074074,"3.93053546966985",45,22,34,0.352941176470588,-0.318966232100844
16,25,25,0.774074074074074,"1.51418554130942",23,2,24,0.916666666666667,-0.318966232100844
16,30,35,0.774074074074074,"1.3169016437605",35,0,35,1,-0.318966232100844
16,35,36,0.669444444444445,"2.64931791089475",30,6,33,0.818181818181818,-0.318966232100844
16,40,42,0.238888888888889,"5.28325465135276",40,2,41,0.951219512195122,-0.318966232100844
17,20,14,0.49537037037037,"1.94731726124883",35,21,24.5,0.142857142857143,-0.529509603748237
17,25,20,0.276851851851852,"1.981584363617",48,28,34,0.176470588235294,-0.529509603748237
17,30,27,0.310185185185185,"2.68126946501434",26,1,26.5,0.962264150943396,-0.529509603748237
17,35,40,0.00925925925925924,"2.06513049593195",31,9,35.5,0.746478873239437,-0.529509603748237
17,40,30,0.176851851851852,"3.39944366551936",45,15,37.5,0.6,-0.529509603748237
18,20,22,0.2,"1.81402982445434",45,23,33.5,0.313432835820896,0.445086562945105
18,25,27,0.610185185185185,"1.81497843563557",51,24,39,0.384615384615385,0.445086562945105
18,30,29,0.30462962962963,"1.88095873594284",37,8,33,0.757575757575758,0.445086562945105
18,35,35,0.69537037037037,"2.43312690826133",33,2,34,0.941176470588235,0.445086562945105
18,40,42,0.341666666666667,"1.86462799133733",28,14,35,0.6,0.445086562945105
19,20,16,NA,"None",27,11,21.5,0.488372093023256,NA
19,25,23,NA,"None",21,2,22,0.909090909090909,NA
19,30,23,NA,"None",34,11,28.5,0.614035087719298,NA
19,35,27,NA,"None",45,18,36,0.5,NA
19,40,40,NA,"None",40,0,40,1,NA
20,20,25,0.640740741,"3.647040538",23,2,24,0.916666666666667,0.727562050894115
20,25,34,0.351851852,"2.331592127",48,14,41,0.658536585365854,0.727562050894115
20,30,41,0.183333333,"5.164272415",30,11,35.5,0.690140845070423,0.727562050894115
20,35,45,0.481481481,"2.380729362",44,1,44.5,0.97752808988764,0.727562050894115
20,40,57,0.351851852,"8.430828041",38,19,47.5,0.6,0.727562050894115
21,20,18,0.10462962962963,"9.23001018865034",39,21,28.5,0.263157894736842,0.438574898677612
21,25,22,0.346296296296296,"2.18121139938012",23,1,22.5,0.955555555555556,0.438574898677612
21,30,37,0.123148148148148,"2.29888251842931",48,11,42.5,0.741176470588235,0.438574898677612
21,35,35,0.27037037037037,"4.72953283553943",34,1,34.5,0.971014492753623,0.438574898677612
21,40,32,0,"1.59728319244459",28,4,30,0.866666666666667,0.438574898677612
22,20,24,0.776851851851852,"1.31419696239755",36,12,30,0.6,-0.697478960932275
22,25,30,0.797222222222222,"0.698196579702199",26,4,28,0.857142857142857,-0.697478960932275
22,30,40,0.953703703703704,"2.0800660722889",31,9,35.5,0.746478873239437,-0.697478960932275
22,35,77,0.868518518518518,"2.17992819193751",50,27,63.5,0.574803149606299,-0.697478960932275
22,40,44,0.471296296296296,"1.53119478235021",44,0,44,1,-0.697478960932275
23,20,12,NA,"None",31,19,21.5,0.116279069767442,NA
23,25,24,NA,"None",17,7,20.5,0.658536585365854,NA
23,30,22,NA,"None",36,14,29,0.517241379310345,NA
23,35,23,NA,"None",24,1,23.5,0.957446808510638,NA
23,40,29,NA,"None",28,1,28.5,0.964912280701754,NA
24,20,16,0.0592592592592592,"1.58145835297182",40,24,28,0.142857142857143,0.634236619774877
24,25,19,0.0592592592592592,"2.43110425164923",52,33,35.5,0.0704225352112676,0.634236619774877
24,30,21,0.151851851851852,"3.13061547745019",46,25,33.5,0.253731343283582,0.634236619774877
24,35,25,0.131481481481481,"1.69976273458451",32,7,28.5,0.754385964912281,0.634236619774877
24,40,27,0.131481481481481,"4.4470641487278",25,2,26,0.923076923076923,0.634236619774877
25,20,13,0.763888888888889,"2.43033368512988",46,33,29.5,-0.11864406779661,-0.519493655947889
25,25,14,0.655555555555556,"2.21609091246501",40,26,27,0.0370370370370371,-0.519493655947889
25,30,21,0.556481481481481,"2.58077761111781",26,5,23.5,0.787234042553192,-0.519493655947889
25,35,31,0.668518518518519,"4.93257673271",51,20,41,0.51219512195122,-0.519493655947889
25,40,25,0.725,"2.58182182163",32,7,28.5,0.754385964912281,-0.519493655947889
26,20,NA,0.336111111111111,"17.0454983785748",31,NA,NA,NA,0.786176146390982
26,25,32,0.917592592592593,"4.03152713272721",26,6,29,0.793103448275862,0.786176146390982
26,30,42,0.925,"2.93167816661298",40,2,41,0.951219512195122,0.786176146390982
26,35,32,0.748148148148148,"2.89712651260197",54,22,43,0.488372093023256,0.786176146390982
26,40,40,0.812962962962963,"3.29783542081714",46,6,43,0.86046511627907,0.786176146390982
27,20,11,0.155555556,"4.463382702",22,11,16.5,0.333333333333333,0.50513851788847
27,25,13,0.236111111,"2.065067939",26,13,19.5,0.333333333333333,0.50513851788847
27,30,10,0.125925926,"2.16559829",43,33,26.5,-0.245283018867924,0.50513851788847
27,35,17,0.125925926,"1.347912285",35,18,26,0.307692307692308,0.50513851788847
27,40,19,0.236111111,"1.733726038",39,20,29,0.310344827586207,0.50513851788847
28,20,35,0.561111111,"1.431998326",45,10,40,0.75,-0.761611290286744
28,25,27,0.356481481,"2.129855819",26,1,26.5,0.962264150943396,-0.761611290286744
28,30,32,0.637962963,"2.747849985",51,19,41.5,0.542168674698795,-0.761611290286744
28,35,43,0.562037037,"2.798006729",40,3,41.5,0.927710843373494,-0.761611290286744
28,40,45,0.737962963,"2.312922737",32,13,38.5,0.662337662337662,-0.761611290286744
29,20,22,0.949074074074074,"1.88110630493611",26,4,24,0.833333333333333,-0.189817907526613
29,25,25,0.782407407407407,"3.49947965890169",37,12,31,0.612903225806452,-0.189817907526613
29,30,34,0.949074074074074,"1.81585358316079",22,12,28,0.571428571428571,-0.189817907526613
29,35,34,0.707407407407407,"6.13012240501121",34,0,34,1,-0.189817907526613
29,40,46,0.949074074074074,"0.965401830151677",47,1,46.5,0.978494623655914,-0.189817907526613
30,20,20,0.905555555555556,"1.61514255777001",39,19,29.5,0.355932203389831,-0.396850557526284
30,25,26,0.973148148148148,"2.64729653811082",50,24,38,0.368421052631579,-0.396850557526284
30,30,38,0.973148148148148,"1.39805074315518",60,22,49,0.551020408163265,-0.396850557526284
30,35,42,0.366666666666667,"2.56565340282395",33,9,37.5,0.76,-0.396850557526284
30,40,65,0.905555555555556,"1.63141106674448",68,3,66.5,0.954887218045113,-0.396850557526284
