Time_to_Rpeak,Condition,ID
0.311,Guess,1
-0.228,Guess,1
-0.011,Guess,1
0.01,Guess,1
0.095,Guess,1
0.226,Guess,1
-0.308,Guess,1
-0.158,Guess,1
0.089,Guess,1
-0.338,Guess,1
-0.134,Guess,1
0.107,Guess,1
-0.313,Guess,1
-0.132,Guess,1
0.072,Guess,1
0.198,Guess,1
-0.284,Guess,1
-0.087,Guess,1
0.087,Guess,1
0.278,Guess,1
-0.208,Guess,1
0.052,Guess,1
0.311,Guess,1
-0.252,Guess,1
-0.031,Guess,1
0.19,Guess,1
-0.314,Guess,1
-0.186,Guess,1
0.155,Guess,1
0.349,Guess,1
-0.25,Guess,1
-0.143,Guess,1
0.06,Guess,1
0.24,Guess,1
0.297,Guess,1
-0.266,Guess,1
-0.108,Guess,1
-0.012,Guess,1
0.12,Guess,1
0.184,Guess,1
0.309,Guess,1
-0.28,Guess,1
-0.208,Guess,1
-0.159,Guess,1
-0.029,Guess,1
0.059,Guess,1
0.178,Guess,1
0.193,Guess,1
-0.276,Guess,1
-0.103,Guess,1
-0.063,Guess,1
0.039,Guess,1
0.112,Guess,1
0.252,Guess,1
-0.352,Guess,1
-0.168,Guess,1
0.138,Guess,1
0.274,Guess,1
-0.306,Guess,1
-0.263,Guess,1
-0.047,Guess,1
0.106,Guess,1
0.291,Guess,1
-0.302,Guess,1
-0.168,Guess,1
-0.047,Guess,1
0.069,Guess,1
-0.296,Guess,1
-0.168,Guess,1
-0.348,NoGuess,1
0.334,NoGuess,1
-0.168,NoGuess,1
0.025,NoGuess,1
-0.205,NoGuess,1
0.053,NoGuess,1
0.071,NoGuess_Perturbed,1
0.149,NoGuess_Perturbed,1
0.213,NoGuess_Perturbed,1
0.212,NoGuess_Perturbed,1
-0.324,NoGuess_Perturbed,1
-0.246,NoGuess_Perturbed,1
-0.378,NoGuess_Perturbed,1
-0.31,NoGuess_Perturbed,1
-0.345,NoGuess_Perturbed,1
-0.346,NoGuess_Perturbed,1
0.342,NoGuess_Perturbed,1
0.255,NoGuess_Perturbed,1
0.198,NoGuess_Perturbed,1
0.162,NoGuess_Perturbed,1
0.093,NoGuess_Perturbed,1
0.27,NoGuess_Perturbed,1
0.193,NoGuess_Perturbed,1
0.174,NoGuess_Perturbed,1
0.09,NoGuess_Perturbed,1
0.147,NoGuess_Perturbed,1
0.167,NoGuess_Perturbed,1
0.041,NoGuess_Perturbed,1
0.129,NoGuess_Perturbed,1
0.142,NoGuess_Perturbed,1
0.208,NoGuess_Perturbed,1
0.239,NoGuess_Perturbed,1
0.304,NoGuess_Perturbed,1
0.342,NoGuess_Perturbed,1
-0.336,NoGuess_Perturbed,1
-0.355,NoGuess_Perturbed,1
-0.284,NoGuess_Perturbed,1
-0.224,NoGuess_Perturbed,1
-0.213,NoGuess_Perturbed,1
-0.201,NoGuess_Perturbed,1
-0.128,NoGuess_Perturbed,1
-0.074,NoGuess_Perturbed,1
-0.058,NoGuess_Perturbed,1
-0.069,NoGuess_Perturbed,1
-0.025,NoGuess_Perturbed,1
0.035,NoGuess_Perturbed,1
0.058,NoGuess_Perturbed,1
0.089,NoGuess_Perturbed,1
0.113,NoGuess_Perturbed,1
0.09,NoGuess_Perturbed,1
0.198,NoGuess_Perturbed,1
0.255,NoGuess_Perturbed,1
0.281,NoGuess_Perturbed,1
0.325,NoGuess_Perturbed,1
-0.182,Guess,2
0.18,Guess,2
-0.217,Guess,2
0.369,Guess,2
-0.1,Guess,2
-0.232,Guess,2
0.265,Guess,2
0.086,Guess,2
-0.197,Guess,2
0.115,Guess,2
-0.076,Guess,2
-0.3,Guess,2
0.247,Guess,2
0.127,Guess,2
-0.178,Guess,2
0.021,Guess,2
0.352,Guess,2
-0.091,Guess,2
-0.083,Guess,2
-0.053,Guess,2
0.209,Guess,2
-0.36,Guess,2
-0.122,Guess,2
0.251,Guess,2
-0.169,Guess,2
0.126,Guess,2
-0.158,Guess,2
0.268,Guess,2
-0.189,Guess,2
0.173,Guess,2
-0.426,Guess,2
0.004,Guess,2
-0.293,Guess,2
0.386,Guess,2
0.24,Guess,2
-0.302,Guess,2
0.283,Guess,2
-0.017,Guess,2
0.381,Guess,2
-0.008,Guess,2
-0.254,Guess,2
0.224,Guess,2
-0.216,Guess,2
0.24,Guess,2
-0.259,Guess,2
0.269,Guess,2
0.114,NoGuess,2
-0.127,NoGuess,2
-0.021,NoGuess,2
-0.367,NoGuess,2
-0.236,NoGuess,2
0.118,NoGuess,2
0.011,NoGuess,2
0.121,NoGuess,2
-0.32,NoGuess,2
0.125,NoGuess,2
0.379,NoGuess,2
0.127,NoGuess,2
0.347,NoGuess,2
-0.185,NoGuess,2
-0.306,NoGuess,2
0.052,NoGuess,2
0.109,NoGuess,2
-0.115,NoGuess,2
0.335,NoGuess,2
0.111,NoGuess,2
-0.162,NoGuess,2
-0.037,NoGuess,2
0.263,NoGuess,2
0.134,NoGuess,2
0.023,NoGuess_Perturbed,2
-0.389,NoGuess_Perturbed,2
-0.031,NoGuess_Perturbed,2
-0.348,NoGuess_Perturbed,2
0.185,NoGuess_Perturbed,2
-0.344,NoGuess_Perturbed,2
-0.389,NoGuess_Perturbed,2
0.155,NoGuess_Perturbed,2
0.372,NoGuess_Perturbed,2
-0.097,NoGuess_Perturbed,2
-0.284,NoGuess_Perturbed,2
0.391,NoGuess_Perturbed,2
0.031,NoGuess_Perturbed,2
-0.194,NoGuess_Perturbed,2
-0.087,NoGuess_Perturbed,2
0.045,NoGuess_Perturbed,2
-0.199,NoGuess_Perturbed,2
0.33,NoGuess_Perturbed,2
-0.01,Guess,3
0.052,Guess,3
-0.386,Guess,3
-0.105,Guess,3
0.272,Guess,3
-0.266,Guess,3
0.125,Guess,3
-0.415,Guess,3
-0.02,Guess,3
0.237,Guess,3
-0.284,Guess,3
0.126,Guess,3
-0.206,Guess,3
0.024,Guess,3
0.266,Guess,3
-0.395,Guess,3
-0.198,Guess,3
-0.157,Guess,3
0.029,Guess,3
0.194,Guess,3
0.354,Guess,3
-0.392,Guess,3
-0.174,Guess,3
0.232,Guess,3
-0.422,Guess,3
0.209,Guess,3
-0.4,Guess,3
0.048,Guess,3
-0.313,Guess,3
-0.043,Guess,3
0.397,Guess,3
0.091,Guess,3
-0.425,Guess,3
0.184,Guess,3
-0.101,Guess,3
0.23,Guess,3
-0.442,Guess,3
-0.204,Guess,3
0.443,Guess,3
-0.142,Guess,3
0.394,Guess,3
0.097,Guess,3
-0.313,Guess,3
-0.301,NoGuess,3
-0.436,NoGuess,3
-0.128,NoGuess,3
0.031,NoGuess,3
0.331,NoGuess,3
-0.088,NoGuess,3
-0.182,NoGuess,3
0.384,NoGuess,3
0.065,NoGuess,3
0.279,NoGuess,3
0.362,NoGuess,3
0.12,NoGuess,3
-0.023,NoGuess,3
-0.418,NoGuess,3
0.288,NoGuess,3
-0.415,NoGuess,3
0.346,NoGuess,3
0.106,NoGuess,3
