"ID","HTT_Mean_Guess","HTT_Mean_NoGuess","HTT_Mean_NoGuessPerturbed","HTT_n_Guess","HTT_n_NoGuess","HTT_n_NoGuessPerturbed"
1,-0.0224202898550725,-0.0515,0.0347708333333333,69,6,48
2,0.00726086956521739,0.0195833333333333,-0.0461111111111111,46,24,18
3,-0.0420697674418605,0.0178333333333333,0.0208095238095238,43,18,21
4,-0.00595049504950495,-0.031025974025974,0.000599999999999998,101,77,60
5,0.0314,0.234666666666667,-0.079125,15,12,8
6,0.01824,-0.0371428571428571,-0.0454333333333333,25,21,60
7,-0.00617391304347826,-0.0253404255319149,0.000457627118644068,23,47,59
8,0.00894117647058823,-0.12425,0.0347142857142857,17,4,7
9,NA,NA,-0.229,0,0,2
10,0.0626666666666667,NA,-0.106666666666667,3,0,15
11,-0.0452222222222222,-0.041962962962963,0.0301428571428571,36,27,14
12,-0.0416666666666667,0.0289512195121951,-0.04844,48,41,50
13,-0.0496666666666667,NA,NA,9,0,0
14,-0.0133720930232558,0.362,-0.0301764705882353,43,2,34
15,-0.0642727272727273,0.00317241379310345,-0.0285185185185185,33,29,27
16,-0.00403636363636364,-0.0152142857142857,-0.0167213114754098,55,14,61
17,-0.0533214285714286,0.0426,-0.035875,28,10,32
18,-0.0580344827586207,0.1284375,0.0337647058823529,29,16,17
19,-0.02984,-0.0967391304347826,0.0403333333333333,25,23,12
20,0.016515625,0.00291836734693877,-0.00236363636363636,64,49,55
21,-0.0280689655172414,-0.0165833333333333,0.04196,58,12,25
22,-0.0131494252873563,-0.0495,-0.0182666666666667,87,68,30
23,-0.0772380952380952,0.101,0.00699999999999999,21,9,5
24,-0.0357435897435897,-0.00879999999999999,0.0134285714285714,39,5,7
25,-0.00796296296296296,-0.0265714285714286,-0.109433333333333,27,14,30
26,0.0116818181818182,0.00305882352941176,0.0291739130434783,44,34,23
27,-0.0204516129032258,-0.208,NA,31,1,0
28,0.0622361111111111,NA,-0.00133333333333333,72,0,6
29,0.0139833333333333,0.000545454545454545,-0.128916666666667,60,33,12
30,-0.00706451612903226,0.0707391304347826,-0.00283333333333334,62,23,6
