"ID","Item","pic","correct","condition","responseRT","response","answer"
1,1,"images/4","b","cognitive",2.36151140066795,"b",1
1,2,"images/5","a","physical",1.73027869989164,"a",1
1,3,"images/6","a","affect",1.40024214133155,"a",1
1,4,"images/7","d","affect",1.59506260138005,"d",1
1,5,"images/8","b","cognitive",1.29812414257322,"b",1
1,6,"images/9","b","physical",1.67384771141224,"b",1
1,7,"images/10","c","physical",1.50234762870241,"c",1
1,8,"images/11","c","cognitive",1.32788237347268,"c",1
1,9,"images/12","d","affect",1.24055366567336,"d",1
1,10,"images/13","d","cognitive",1.29372402303852,"d",1
1,11,"images/14","c","physical",1.26476458914112,"c",1
1,12,"images/15","a","affect",1.53537579381373,"a",1
1,13,"images/16","b","affect",1.26708174170926,"b",1
1,14,"images/17","b","cognitive",1.20428058877587,"b",1
1,15,"images/18","d","physical",1.22547565307468,"d",1
1,16,"images/19","b","physical",1.07332217367366,"b",1
1,17,"images/20","c","affect",1.30350495374296,"c",1
1,18,"images/21","b","physical",1.15951331774704,"b",1
1,19,"images/22","a","physical",1.13588817871641,"a",1
1,20,"images/23","d","affect",1.35847918060608,"d",1
1,21,"images/24","d","cognitive",1.13106780848466,"d",1
1,22,"images/25","a","cognitive",1.07536087010521,"a",1
1,23,"images/26","b","affect",1.19719246961176,"b",1
1,24,"images/27","d","cognitive",1.1386271858355,"d",1
1,25,"images/29","b","affect",1.16654016380198,"b",1
1,26,"images/30","b","affect",4.29680468421429,"b",1
1,27,"images/31","d","affect",1.87238626612816,"d",1
1,28,"images/32","b","affect",4.06843218952417,"d",0
1,29,"images/33","c","affect",6.42783816694282,"c",1
1,30,"images/34","d","affect",1.57207040442154,"d",1
1,31,"images/35","d","affect",2.79984684905503,"d",1
1,32,"images/36","d","affect",1.12719989940524,"d",1
1,33,"images/37","b","affect",4.47312770364806,"b",1
1,34,"images/38","b","affect",2.60757676477078,"b",1
1,35,"images/39","c","affect",5.0370802145917,"c",1
1,36,"images/40","c","cognitive",1.36434761073906,"c",1
1,37,"images/41","a","affect",2.30686631670687,"a",1
1,38,"images/42","d","affect",2.47154326271266,"d",1
1,39,"images/43","a","affect",4.22895859985147,"a",1
1,40,"images/44","d","cognitive",1.47139826021157,"d",1
1,41,"images/45","d","affect",1.49429100845009,"a",0
1,42,"images/46","c","affect",2.56274822051637,"c",1
1,43,"images/47","b","affect",5.64090680435766,"b",1
1,44,"images/48","a","affect",3.79175879037939,"a",1
1,45,"images/49","a","affect",3.32694338611327,"a",1
1,46,"images/50","d","affect",2.10044918686617,"d",1
1,47,"images/51","c","affect",2.19290013948921,"c",1
1,48,"images/52","c","affect",3.66281693626661,"c",1
1,49,"images/53","d","affect",2.16335171309765,"d",1
1,50,"images/54","c","affect",1.60234929691069,"c",1
1,51,"images/55","a","affect",1.79449875978753,"a",1
1,52,"images/56","c","affect",2.32480139157269,"c",1
1,53,"images/57","d","affect",3.63034824968781,"d",1
1,54,"images/58","d","cognitive",2.03817158285528,"d",1
1,55,"images/59","b","cognitive",1.29711554129608,"b",1
1,56,"images/60","b","affect",3.67161910026334,"b",1
