"ID","YONI_Affective","YONI_Cognitive","YONI_Physical","YONI_Total"
1,45,31,14,90
2,44,34,12,90
3,33,28,10,71
4,45,34,13,92
5,36,28,12,76
6,41,30,13,84
7,45,29,11,85
8,44,35,14,93
9,34,30,14,78
10,41,31,13,85
11,44,34,10,88
12,34,24,4,62
13,41,29,14,84
14,42,29,7,78
15,46,33,14,93
16,45,32,13,90
17,44,29,14,87
18,43,35,13,91
19,37,31,13,81
20,47,36,13,96
21,45,34,14,93
22,41,30,14,85
23,46,35,13,94
24,41,33,14,88
25,47,33,14,94
26,38,24,14,76
27,46,32,13,91
28,37,28,8,73
29,40,29,13,82
30,43,31,8,82
