Item,pic,correct,part,partimg,parta.thisRepN,parta.thisTrialN,parta.thisN,parta.thisIndex,trialsA.thisRepN,trialsA.thisTrialN,trialsA.thisN,trialsA.thisIndex,partb.thisRepN,partb.thisTrialN,partb.thisN,partb.thisIndex,trialB.thisRepN,trialB.thisTrialN,trialB.thisN,trialB.thisIndex,partc.thisRepN,partc.thisTrialN,partc.thisN,partc.thisIndex,trialC.thisRepN,trialC.thisTrialN,trialC.thisN,trialC.thisIndex,textboxsubjectid.text,image_2.started,image_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enter ID ,,,,,,,,,,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
1,images/4,b,a,images/3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
1,images/4,b,a,images/3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,10.025140416997601,None,-0.31333333333333335,0.19111111111111112,1,0,0,6.18738545900851,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
2,images/5,a,b,images/28,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,16.224070541997207,None,0.42,0.1688888888888889,1,0,0,7.08847670799878,b,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
3,images/6,a,c,images/61,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,23.324353125004563,None,0.3711111111111111,-0.31333333333333335,1,0,0,7.571624541989877,c,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
4,images/7,d,None,None,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,30.90708070799883,None,-0.4222222222222222,-0.3877777777777778,1,0,0,6.50440904199786,d,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
5,images/8,b,None,None,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,37.420359333002125,None,-0.3711111111111111,0.10333333333333333,1,0,0,3.326211207997403,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
6,images/9,b,None,None,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,40.75856441700307,None,0.22777777777777777,0.19444444444444445,1,0,0,2.854683458004729,b,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
7,images/10,c,None,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,43.623844292000285,None,0.2611111111111111,-0.28,1,0,0,3.5215812500100583,c,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
8,images/11,c,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,47.15407154199784,None,-0.4477777777777778,-0.3277777777777778,1,0,0,2.9581552919989917,d,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
