"","Trial","Inclusion","Inclusion2","ID","style","condition","question","subresp","RT","item","BES_Cognitive","BES_Affective","BES_Total","Lie_Freq","Lie_Ability","Lie_Neg","Lie_Content","Lie_TotalAvg","MAIA1","MAIA2","MAIA3","MAIA4","MAIA5","MAIA6","MAIA7","MAIA8","MAIA_Total","SRP3_IPM","SRP3_CA","SRP3_ELS","SRP3_ASB","SRP3_PRI","SRP3_SEC","SRP3_Total","yoni_affective","yoni_cognitive","yoni_physical","yoni_total","HCT_Confidence","HCT_Accuracy","HCT_Awareness","Gender","Age","handedness","Polyjc","Ethnicity","Religion","Nationality","RaisedinSG"
"1",1,1,1,1,"Direct","TRUTH","Which MRT station is closest to your house?",0.287037037037037,5.49720517336391,19,37,36,73,-0.502271259222083,-2.93362685406997,1.27184309181154,0.631618623678662,-0.383109099450463,2.75,2.5,1.8,2.14285714285714,2.6,2,3,3.33333333333333,20.1261904761905,43,40,39,20,83,59,142,45,31,14,90,0.360740740740741,0.977426526485375,-0.292638947933465,"Female",20,"Right handed","Junior College","Chinese","Not religious","Singaporean","Yes"
"2",2,1,1,1,"Direct","TRUTH","What was the last country you visited?",0.355555555555556,4.73554113507271,18,37,36,73,-0.502271259222083,-2.93362685406997,1.27184309181154,0.631618623678662,-0.383109099450463,2.75,2.5,1.8,2.14285714285714,2.6,2,3,3.33333333333333,20.1261904761905,43,40,39,20,83,59,142,45,31,14,90,0.360740740740741,0.977426526485375,-0.292638947933465,"Female",20,"Right handed","Junior College","Chinese","Not religious","Singaporean","Yes"
"3",3,1,1,1,"Indirect","LIE","Is your favourite flavour Vanilla?",0.301851851851852,4.49967951886356,14,37,36,73,-0.502271259222083,-2.93362685406997,1.27184309181154,0.631618623678662,-0.383109099450463,2.75,2.5,1.8,2.14285714285714,2.6,2,3,3.33333333333333,20.1261904761905,43,40,39,20,83,59,142,45,31,14,90,0.360740740740741,0.977426526485375,-0.292638947933465,"Female",20,"Right handed","Junior College","Chinese","Not religious","Singaporean","Yes"
"4",4,1,1,1,"Indirect","LIE","Are you from Nanyang Business School in NTU?",0.315740740740741,3.76635416271165,21,37,36,73,-0.502271259222083,-2.93362685406997,1.27184309181154,0.631618623678662,-0.383109099450463,2.75,2.5,1.8,2.14285714285714,2.6,2,3,3.33333333333333,20.1261904761905,43,40,39,20,83,59,142,45,31,14,90,0.360740740740741,0.977426526485375,-0.292638947933465,"Female",20,"Right handed","Junior College","Chinese","Not religious","Singaporean","Yes"
"5",5,1,1,1,"Indirect","LIE","Did you celebrate your 21st birthday at MBS?",0.269444444444444,2.2662168595707,17,37,36,73,-0.502271259222083,-2.93362685406997,1.27184309181154,0.631618623678662,-0.383109099450463,2.75,2.5,1.8,2.14285714285714,2.6,2,3,3.33333333333333,20.1261904761905,43,40,39,20,83,59,142,45,31,14,90,0.360740740740741,0.977426526485375,-0.292638947933465,"Female",20,"Right handed","Junior College","Chinese","Not religious","Singaporean","Yes"
"6",6,1,1,1,"Direct","TRUTH","Which floor of the building is your house on?",0.315740740740741,2.5027332326863,20,37,36,73,-0.502271259222083,-2.93362685406997,1.27184309181154,0.631618623678662,-0.383109099450463,2.75,2.5,1.8,2.14285714285714,2.6,2,3,3.33333333333333,20.1261904761905,43,40,39,20,83,59,142,45,31,14,90,0.360740740740741,0.977426526485375,-0.292638947933465,"Female",20,"Right handed","Junior College","Chinese","Not religious","Singaporean","Yes"
"7",7,1,1,1,"Direct","LIE","How often do you smoke?",0.321296296296296,2.48267509054858,26,37,36,73,-0.502271259222083,-2.93362685406997,1.27184309181154,0.631618623678662,-0.383109099450463,2.75,2.5,1.8,2.14285714285714,2.6,2,3,3.33333333333333,20.1261904761905,43,40,39,20,83,59,142,45,31,14,90,0.360740740740741,0.977426526485375,-0.292638947933465,"Female",20,"Right handed","Junior College","Chinese","Not religious","Singaporean","Yes"
"8",8,1,1,1,"Indirect","LIE","Are you from Temasek Primary School?",0.333333333333333,2.20024490018841,1,37,36,73,-0.502271259222083,-2.93362685406997,1.27184309181154,0.631618623678662,-0.383109099450463,2.75,2.5,1.8,2.14285714285714,2.6,2,3,3.33333333333333,20.1261904761905,43,40,39,20,83,59,142,45,31,14,90,0.360740740740741,0.977426526485375,-0.292638947933465,"Female",20,"Right handed","Junior College","Chinese","Not religious","Singaporean","Yes"
"9",9,1,1,1,"Direct","TRUTH","Which secondary school did you attend?",0.268518518518518,2.95006749674212,2,37,36,73,-0.502271259222083,-2.93362685406997,1.27184309181154,0.631618623678662,-0.383109099450463,2.75,2.5,1.8,2.14285714285714,2.6,2,3,3.33333333333333,20.1261904761905,43,40,39,20,83,59,142,45,31,14,90,0.360740740740741,0.977426526485375,-0.292638947933465,"Female",20,"Right handed","Junior College","Chinese","Not religious","Singaporean","Yes"
"10",10,1,1,1,"Indirect","TRUTH","Are you studying Linguistics and Multilingual Studies course in NTU?",0.5,2.40049268770963,23,37,36,73,-0.502271259222083,-2.93362685406997,1.27184309181154,0.631618623678662,-0.383109099450463,2.75,2.5,1.8,2.14285714285714,2.6,2,3,3.33333333333333,20.1261904761905,43,40,39,20,83,59,142,45,31,14,90,0.360740740740741,0.977426526485375,-0.292638947933465,"Female",20,"Right handed","Junior College","Chinese","Not religious","Singaporean","Yes"
