Tap_Number,Tap_Times,Condition,ID
1.0,412.1517579305219,Guess,1
2.0,412.9198655968067,Guess,1
3.0,413.7757809282048,Guess,1
4.0,414.49556619615765,Guess,1
5.0,415.2877834124957,Guess,1
6.0,416.12756882165564,Guess,1
7.0,416.98370935604913,Guess,1
8.0,417.8476418489591,Guess,1
9.0,418.8157951975009,Guess,1
10.0,419.78372911736375,Guess,1
11.0,420.6876097944333,Guess,1
12.0,421.6395581531106,Guess,1
13.0,422.5998983699829,Guess,1
14.0,423.4794879230904,Guess,1
15.0,424.3916837867583,Guess,1
16.0,425.24772166449117,Guess,1
17.0,426.1597038741457,Guess,1
18.0,427.056180762942,Guess,1
19.0,427.95156211301224,Guess,1
20.0,428.8635635707761,Guess,1
21.0,429.73569929052616,Guess,1
22.0,430.67168582708115,Guess,1
23.0,431.6156750891824,Guess,1
24.0,432.47966917615855,Guess,1
25.0,433.39156444848055,Guess,1
26.0,434.3036236505723,Guess,1
27.0,435.24762895272585,Guess,1
28.0,436.08754717395647,Guess,1
29.0,437.1195792489453,Guess,1
30.0,438.024022933445,Guess,1
31.0,438.8557613464073,Guess,1
32.0,439.695816229214,Guess,1
33.0,440.59958238003316,Guess,1
34.0,441.49576573504606,Guess,1
35.0,442.2796465917491,Guess,1
36.0,443.1995866146172,Guess,1
37.0,444.0638421551558,Guess,1
38.0,444.8718062561239,Guess,1
39.0,445.7195728970692,Guess,1
40.0,446.5035862450023,Guess,1
41.0,447.3195331818425,Guess,1
42.0,448.1435675359099,Guess,1
43.0,448.9437614927302,Guess,1
44.0,449.69560353760613,Guess,1
45.0,450.5116415821249,Guess,1
46.0,451.3116783460137,Guess,1
47.0,452.14387518493464,Guess,1
48.0,452.88738183258107,Guess,1
49.0,453.84763832017785,Guess,1
50.0,454.7036011302844,Guess,1
51.0,455.439606465865,Guess,1
52.0,456.24775246146606,Guess,1
53.0,457.0395118934103,Guess,1
54.0,457.8714953990421,Guess,1
55.0,458.6715555815027,Guess,1
56.0,459.5596098150127,Guess,1
57.0,460.5517206533114,Guess,1
58.0,461.35955065907916,Guess,1
59.0,462.1595325658564,Guess,1
60.0,462.90369814075535,Guess,1
61.0,463.7995478616795,Guess,1
62.0,464.6478637156543,Guess,1
63.0,465.5357075030916,Guess,1
64.0,466.33575549500534,Guess,1
65.0,467.1676206247649,Guess,1
66.0,467.991700853454,Guess,1
67.0,468.7996662376682,Guess,1
68.0,469.77558042702736,Guess,1
69.0,470.5837546532276,Guess,1
1.0,518.5675503049279,NoGuess,1
2.0,528.1354557375889,NoGuess,1
3.0,548.1517762162257,NoGuess,1
4.0,557.43167046702,NoGuess,1
5.0,558.5761224539019,NoGuess,1
6.0,559.519677991746,NoGuess,1
1.0,662.3676082417369,NoGuess_Perturbed,1
2.0,663.2793719852343,NoGuess_Perturbed,1
3.0,664.175695530721,NoGuess_Perturbed,1
4.0,665.0075795877492,NoGuess_Perturbed,1
5.0,666.0636390874861,NoGuess_Perturbed,1
6.0,666.9276572347153,NoGuess_Perturbed,1
7.0,667.5837514451705,NoGuess_Perturbed,1
8.0,668.4475536926184,NoGuess_Perturbed,1
9.0,669.2075729792705,NoGuess_Perturbed,1
10.0,670.0154905639356,NoGuess_Perturbed,1
11.0,670.7036389849382,NoGuess_Perturbed,1
12.0,671.4317407227354,NoGuess_Perturbed,1
13.0,672.1839866571827,NoGuess_Perturbed,1
14.0,672.9596254701028,NoGuess_Perturbed,1
15.0,673.6956484498223,NoGuess_Perturbed,1
16.0,674.6717121328693,NoGuess_Perturbed,1
17.0,675.3996791339014,NoGuess_Perturbed,1
18.0,676.1756910395343,NoGuess_Perturbed,1
19.0,676.8796569216065,NoGuess_Perturbed,1
20.0,677.7275204446632,NoGuess_Perturbed,1
21.0,678.5275969880167,NoGuess_Perturbed,1
22.0,679.1757792599965,NoGuess_Perturbed,1
23.0,680.0236119861947,NoGuess_Perturbed,1
24.0,680.7916840434773,NoGuess_Perturbed,1
25.0,681.6157495152438,NoGuess_Perturbed,1
26.0,682.4075827315683,NoGuess_Perturbed,1
27.0,683.2156639252789,NoGuess_Perturbed,1
28.0,683.991736141732,NoGuess_Perturbed,1
29.0,684.7517166112084,NoGuess_Perturbed,1
30.0,685.4475164796459,NoGuess_Perturbed,1
31.0,686.2236239841441,NoGuess_Perturbed,1
