"ID","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q28","Q29","Q30","Q31","Q32","Q33","Q34","Q35","Q36","Q37","MAIA1","MAIA2","MAIA3","MAIA4","MAIA5","MAIA6","MAIA7","MAIA8","MAIA_total"
"001",2,3,2,3,4,1,4,4,1,1,1,1,3,3,1,1,0,1,4,3,2,4,3,1,5,3,1,3,1,2,2,4,1,4,3,3,4,2.5,2.5,1.8,2.14285714285714,2.6,2,3,3.33333333333333,2.48452380952381
"002",2,3,3,5,0,0,0,0,0,1,5,4,2,4,4,3,2,3,0,0,1,0,4,4,5,5,3,0,0,4,4,0,0,1,4,4,4,3.25,0.166666666666667,3.8,1.28571428571429,4.2,2,0.333333333333333,4,2.37946428571429
"003",4,4,3,5,1,3,2,2,1,2,2,1,4,2,1,2,4,4,3,3,3,3,3,4,4,4,4,5,4,3,3,4,3,3,4,4,4,4,1.83333333333333,2,3.14285714285714,3.8,3.75,3.33333333333333,4,3.23244047619048
"004",5,4,4,5,3,2,1,2,1,0,1,3,4,4,3,5,4,4,5,5,4,2,2,4,5,5,2,4,3,4,4,2,2,3,4,4,1,4.5,1.5,3,4.14285714285714,3.6,3.75,2.33333333333333,3,3.22827380952381
"005",4,4,4,3,1,1,1,1,1,1,0,0,5,4,1,2,2,1,4,4,3,4,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,3.75,1,2,2.85714285714286,3.4,3.25,4,4,3.03214285714286
"006",5,5,4,5,1,0,0,0,0,0,1,0,1,1,0,2,4,5,5,5,2,2,5,4,5,5,5,2,4,4,4,5,5,5,4,4,5,4.75,0.166666666666667,0.6,3.57142857142857,4.8,3.5,5,4.33333333333333,3.34017857142857
"007",2,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,3,3,2,3,2,3,2,3,2,2,2,3,3,3,3,2,2,2,3,3,2,2.75,2,2.2,2.57142857142857,2.2,3,2,2.66666666666667,2.4235119047619
"008",3,3,3,4,1,0,0,1,0,0,2,3,3,3,4,5,5,4,4,4,4,3,4,4,5,5,4,4,3,4,5,4,3,4,5,5,5,3.25,0.333333333333333,3,4.14285714285714,4.4,4,3.66666666666667,5,3.47410714285714
"009",4,4,1,2,4,4,2,4,4,4,1,1,1,3,2,1,4,3,4,3,5,5,4,4,4,4,4,4,5,1,1,2,1,1,3,3,4,2.75,3.66666666666667,1.6,3.57142857142857,4,2.75,1.33333333333333,3.33333333333333,2.87559523809524
"010",4,4,4,4,1,1,1,1,1,1,2,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2.8,4,4,4,4,4,3.475
"011",2,2,2,3,3,3,1,4,3,2,2,2,3,2,2,3,1,3,2,3,2,2,4,1,2,4,2,2,2,3,3,1,2,1,2,2,1,2.25,2.66666666666667,2.2,2.28571428571429,2.6,2.5,1.33333333333333,1.66666666666667,2.18779761904762
"012",4,3,3,4,2,1,3,2,2,2,2,2,2,2,1,3,3,2,3,3,3,3,3,4,4,4,4,4,3,4,4,4,3,3,4,4,3,3.5,2,1.8,2.85714285714286,3.8,3.75,3.33333333333333,3.66666666666667,3.08839285714286
"013",2,3,2,4,2,2,2,2,1,2,1,2,1,1,2,1,1,2,2,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2.75,1.83333333333333,1.4,1.85714285714286,2.6,2,2,2,2.05505952380952
"014",3,4,4,5,2,1,2,2,1,1,1,1,2,2,1,3,2,0,2,3,3,3,4,4,2,4,3,1,2,3,2,1,1,3,1,2,3,4,1.5,1.4,2.28571428571429,3.4,2,1.66666666666667,2,2.28154761904762
"015",2,3,4,4,3,3,3,3,1,1,2,0,3,3,2,3,4,3,4,4,4,4,4,3,4,4,4,3,4,3,4,3,4,4,5,5,5,3.25,2.33333333333333,2,3.71428571428571,3.8,3.5,3.66666666666667,5,3.40803571428571
"016",3,4,4,2,2,2,1,1,3,4,1,3,1,1,1,2,3,2,3,3,3,3,2,1,3,4,3,3,4,3,3,2,3,2,2,3,4,3.25,2.16666666666667,1.4,2.71428571428571,2.6,3.25,2.33333333333333,3,2.58928571428571
"017",1,4,2,4,2,1,1,1,1,1,2,1,1,1,2,1,1,0,1,1,2,2,3,1,4,3,1,1,2,2,1,3,2,3,3,4,4,2.75,1.16666666666667,1.4,1.14285714285714,2.4,1.5,2.66666666666667,3.66666666666667,2.08660714285714
"018",1,1,1,3,0,2,2,2,1,0,1,1,1,1,3,0,1,0,1,3,1,2,1,5,3,3,4,2,3,1,3,3,0,1,4,3,3,1.5,1.16666666666667,1.4,1.14285714285714,3.2,2.25,1.33333333333333,3.33333333333333,1.91577380952381
"019",4,4,4,4,2,2,2,2,2,2,1,0,1,1,4,2,3,3,3,3,4,4,4,4,4,4,4,4,4,3,2,3,2,3,4,4,4,4,2,1.4,3.14285714285714,4,3.25,2.66666666666667,4,3.05744047619048
"020",3,3,4,3,2,3,1,2,3,4,2,2,2,3,3,1,3,4,3,3,1,1,1,2,2,3,2,3,2,3,1,1,1,1,4,4,3,3.25,2.5,2.4,2.28571428571429,2,2.25,1,3.66666666666667,2.41904761904762
"021",1,2,4,4,3,1,1,2,1,1,1,1,1,2,1,1,0,1,1,1,1,0,1,2,1,2,1,1,1,2,3,4,2,2,2,3,1,2.75,1.5,1.2,0.714285714285714,1.4,1.75,2.66666666666667,2,1.74761904761905
"022",4,5,4,4,4,4,3,3,3,1,1,2,3,2,3,3,2,2,2,3,4,2,2,1,2,5,4,1,1,1,4,4,2,4,4,4,4,4.25,3,2.2,2.57142857142857,2.8,1.75,3.33333333333333,4,2.98809523809524
"023",3,5,2,2,2,3,1,1,2,2,4,1,1,2,2,0,1,4,3,3,3,3,4,4,4,4,4,2,4,3,1,2,1,1,0,0,1,3,1.83333333333333,2,2.42857142857143,4,2.5,1.33333333333333,0.333333333333333,2.17857142857143
"024",2,4,4,4,2,0,2,2,1,2,4,4,1,2,2,1,2,4,4,4,2,2,3,3,3,4,3,1,1,4,4,1,1,1,1,1,3,3.5,1.5,2.6,2.71428571428571,3.2,2.5,1,1.66666666666667,2.33511904761905
"025",3,3,3,3,1,3,2,2,2,2,3,3,3,3,2,4,3,2,4,3,3,3,3,2,3,4,4,2,3,3,3,4,2,3,4,4,4,3,2,2.8,3.14285714285714,3.2,2.75,3,4,2.98660714285714
"026",4,4,4,4,2,2,1,2,1,2,3,3,3,3,4,4,4,4,4,4,3,4,4,4,3,3,4,3,3,4,4,3,1,2,4,4,3,4,1.66666666666667,3.2,3.85714285714286,3.6,3.5,2,3.66666666666667,3.18630952380952
"027",4,4,4,3,1,1,2,2,1,0,2,1,1,1,2,2,3,2,2,2,2,4,2,4,3,5,4,2,3,1,1,2,1,2,3,3,3,3.75,1.16666666666667,1.4,2.42857142857143,3.6,1.75,1.66666666666667,3,2.34523809523809
"028",4,4,4,5,2,0,0,0,0,0,2,2,4,4,3,2,2,1,2,2,3,3,3,2,4,4,4,3,3,4,4,3,3,3,4,4,4,4.25,0.333333333333333,3,2.14285714285714,3.4,3.5,3,4,2.95327380952381
"029",3,5,3,2,2,3,4,2,2,3,3,1,3,3,4,3,3,2,3,3,4,4,3,3,4,3,3,2,2,3,2,4,4,3,4,4,4,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,3.12202380952381
"030",4,4,4,4,4,4,1,4,4,4,4,4,1,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,3.5,3.4,3.57142857142857,4,4.25,4,4.33333333333333,3.88184523809524
