"","ID","BES_Cognitive","BES_Affective","BES_Total"
"1","001",37,36,73
"2","002",36,31,67
"3","003",33,48,81
"4","004",39,28,67
"5","005",37,38,75
"6","006",44,53,97
"7","007",26,30,56
"8","008",39,40,79
"9","009",36,25,61
"10","010",32,43,75
"11","011",28,37,65
"12","012",34,34,68
"13","013",27,39,66
"14","014",36,38,74
"15","015",35,33,68
"16","016",29,35,64
"17","017",37,41,78
"18","018",41,50,91
"19","019",40,48,88
"20","020",42,40,82
"21","021",32,48,80
"22","022",35,30,65
"23","023",36,27,63
"24","024",35,41,76
"25","025",35,43,78
"26","026",38,30,68
"27","027",34,44,78
"28","028",32,36,68
"29","029",39,37,76
"30","030",38,38,76
