"","ID","SRP3_IPM","SRP3_CA","SRP3_ELS","SRP3_ASB","SRP3_PRI","SRP3_SEC","SRP3_Total"
"1","001",43,40,39,20,83,59,142
"2","002",40,55,48,25,95,73,168
"3","003",50,32,44,26,82,70,152
"4","004",43,52,55,28,95,83,178
"5","005",37,28,40,26,65,66,131
"6","006",34,25,45,16,59,61,120
"7","007",49,51,51,39,100,90,190
"8","008",41,33,42,17,74,59,133
"9","009",58,51,41,32,109,73,182
"10","010",26,32,37,19,58,56,114
"11","011",40,42,36,26,82,62,144
"12","012",49,45,39,22,94,61,155
"13","013",44,51,45,23,95,68,163
"14","014",45,31,46,18,76,64,140
"15","015",38,42,46,25,80,71,151
"16","016",47,41,38,21,88,59,147
"17","017",37,35,41,22,72,63,135
"18","018",51,29,39,19,80,58,138
"19","019",47,42,25,20,89,45,134
"20","020",31,22,30,17,53,47,100
"21","021",50,30,45,23,80,68,148
"22","022",53,50,49,30,103,79,182
"23","023",63,50,39,42,113,81,194
"24","024",35,40,45,17,75,62,137
"25","025",25,26,37,17,51,54,105
"26","026",31,33,28,16,64,44,108
"27","027",39,32,35,17,71,52,123
"28","028",26,26,32,16,52,48,100
"29","029",52,42,49,20,94,69,163
"30","030",45,28,26,16,73,42,115
