Item,pic,correct,part,partimg,condition,parta.thisRepN,parta.thisTrialN,parta.thisN,parta.thisIndex,trialsA.thisRepN,trialsA.thisTrialN,trialsA.thisN,trialsA.thisIndex,partb.thisRepN,partb.thisTrialN,partb.thisN,partb.thisIndex,trialB.thisRepN,trialB.thisTrialN,trialB.thisN,trialB.thisIndex,partc.thisRepN,partc.thisTrialN,partc.thisN,partc.thisIndex,trialC.thisRepN,trialC.thisTrialN,trialC.thisN,trialC.thisIndex,textboxsubjectid.text,image_2.started,image_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
1,images/4,b,a,images/3,cognitive,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
1,images/4,b,a,images/3,cognitive,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,30.78502154198941,None,-0.30333333333333334,0.08888888888888889,1,0,0,0.8368398330057971,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
2,images/5,a,b,images/28,physical,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,31.630246249958873,None,0.49444444444444446,0.09,1,0,0,0.6073634580243379,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
3,images/6,a,c,images/61,affect,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,32.245527374965604,None,0.45222222222222225,-0.5,1,0,0,0.6424472910002805,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
4,images/7,d,None,None,affect,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,33.49629970896058,None,-0.09888888888888889,-0.45222222222222225,1,0,0,0.5416455409722403,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
5,images/8,b,None,None,cognitive,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,34.04495129198767,None,-0.3388888888888889,0.27111111111111114,1,0,0,0.6763715840061195,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
6,images/9,b,None,None,physical,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,34.729416624992155,None,0.4011111111111111,0.2,1,0,0,0.5257898329873569,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
7,images/10,c,None,None,physical,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,35.262704791966826,None,0.3411111111111111,-0.2633333333333333,1,0,0,0.5081862090155482,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
8,images/11,c,None,None,cognitive,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,35.778581791964825,None,-0.5011111111111111,-0.27111111111111114,1,0,0,0.5258793329703622,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
9,images/12,d,None,None,affect,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,36.31101637496613,None,-0.39555555555555555,0.10555555555555556,1,0,0,0.4432788749691099,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
10,images/13,d,None,None,cognitive,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,36.76254795899149,None,0.34444444444444444,0.12222222222222222,1,0,0,0.5425110830110498,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
11,images/14,c,None,None,physical,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,37.311822708987165,None,0.4022222222222222,-0.32222222222222224,1,0,0,1.1435656659887172,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
12,images/15,a,None,None,affect,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,38.464525583956856,None,-0.43777777777777777,-0.38666666666666666,1,0,0,0.5559602500288747,d,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
13,images/16,b,None,None,affect,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,39.03097241697833,None,-0.38333333333333336,-0.052222222222222225,1,0,0,0.47289845801424235,a,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
14,images/17,b,None,None,cognitive,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,39.51047224999638,None,0.4477777777777778,0.15888888888888889,1,0,0,0.5282925420324318,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
15,images/18,d,None,None,physical,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,40.04557479196228,None,0.4477777777777778,0.15888888888888889,1,0,0,0.17643116600811481,b,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
16,images/19,b,None,None,physical,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,40.22737758397125,None,0.35,-0.25,1,0,0,0.3768143330235034,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
17,images/20,c,None,None,affect,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,40.61128245899454,None,0.35333333333333333,-0.2544444444444444,1,0,0,0.24318170896731317,c,123,001,2021_Jan_07_1500,untitled,2020.2.10,60.02504544875645,
